source_a	source_b	a_types	b_types	exact_shared_forms	exact_union_forms	jaccard	share_of_a_found_in_b	share_of_b_found_in_a
Mem û Zîn	ANHA	3932	71523	464	74991	0.00618741	0.11800610	0.00648742
Mem û Zîn	Ronahî	3932	84532	511	87953	0.00580992	0.12995931	0.00604505
Mem û Zîn	Rudaw	3932	314182	1055	317059	0.00332746	0.26831129	0.00335793
Mem û Zîn	Pirtûkên Kurmancî Katalog	3932	505	52	4385	0.01185861	0.01322482	0.10297030
Mem û Zîn	Kurmanji Beginners	3932	11740	310	15362	0.02017966	0.07884028	0.02640545
Mem û Zîn	Kovara Kurmancî	3932	85	14	4003	0.00349738	0.00356053	0.16470588
Mem û Zîn	Kovara Hawar	3932	81	15	3998	0.00375188	0.00381485	0.18518519
Mem û Zîn	Rojnama Kurdistan	3932	86	19	3999	0.00475119	0.00483215	0.22093023
Mem û Zîn	Kovara Jîn	3932	79	15	3996	0.00375375	0.00381485	0.18987342
Mem û Zîn	Folklora Kurmanca (1936)	3932	80	11	4001	0.00274931	0.00279756	0.13750000
Mem û Zîn	Kurd Teavun Terakki (1908)	3932	70	16	3986	0.00401405	0.00406918	0.22857143
Mem û Zîn	Rojî Kurd (1913)	3932	69	14	3987	0.00351141	0.00356053	0.20289855
Mem û Zîn	Dîrok û Civaka Kurdan	3932	77	15	3994	0.00375563	0.00381485	0.19480519
ANHA	Ronahî	71523	84532	39251	116804	0.33604157	0.54878850	0.46433303
ANHA	Rudaw	71523	314182	43042	342663	0.12561029	0.60179243	0.13699703
ANHA	Pirtûkên Kurmancî Katalog	71523	505	377	71651	0.00526162	0.00527103	0.74653465
ANHA	Kurmanji Beginners	71523	11740	3044	80219	0.03794612	0.04255974	0.25928450
ANHA	Kovara Kurmancî	71523	85	40	71568	0.00055891	0.00055926	0.47058824
ANHA	Kovara Hawar	71523	81	29	71575	0.00040517	0.00040546	0.35802469
ANHA	Rojnama Kurdistan	71523	86	36	71573	0.00050298	0.00050333	0.41860465
ANHA	Kovara Jîn	71523	79	36	71566	0.00050303	0.00050333	0.45569620
ANHA	Folklora Kurmanca (1936)	71523	80	32	71571	0.00044711	0.00044741	0.40000000
ANHA	Kurd Teavun Terakki (1908)	71523	70	29	71564	0.00040523	0.00040546	0.41428571
ANHA	Rojî Kurd (1913)	71523	69	33	71559	0.00046116	0.00046139	0.47826087
ANHA	Dîrok û Civaka Kurdan	71523	77	27	71573	0.00037724	0.00037750	0.35064935
Ronahî	Rudaw	84532	314182	51068	347646	0.14689656	0.60412625	0.16254273
Ronahî	Pirtûkên Kurmancî Katalog	84532	505	386	84651	0.00455990	0.00456632	0.76435644
Ronahî	Kurmanji Beginners	84532	11740	3383	92889	0.03641981	0.04002035	0.28816014
Ronahî	Kovara Kurmancî	84532	85	39	84578	0.00046111	0.00046136	0.45882353
Ronahî	Kovara Hawar	84532	81	28	84585	0.00033103	0.00033124	0.34567901
Ronahî	Rojnama Kurdistan	84532	86	35	84583	0.00041379	0.00041404	0.40697674
Ronahî	Kovara Jîn	84532	79	34	84577	0.00040200	0.00040221	0.43037975
Ronahî	Folklora Kurmanca (1936)	84532	80	31	84581	0.00036651	0.00036673	0.38750000
Ronahî	Kurd Teavun Terakki (1908)	84532	70	30	84572	0.00035473	0.00035490	0.42857143
Ronahî	Rojî Kurd (1913)	84532	69	32	84569	0.00037839	0.00037855	0.46376812
Ronahî	Dîrok û Civaka Kurdan	84532	77	26	84583	0.00030739	0.00030758	0.33766234
Rudaw	Pirtûkên Kurmancî Katalog	314182	505	440	314247	0.00140017	0.00140046	0.87128713
Rudaw	Kurmanji Beginners	314182	11740	5888	320034	0.01839805	0.01874073	0.50153322
Rudaw	Kovara Kurmancî	314182	85	56	314211	0.00017822	0.00017824	0.65882353
Rudaw	Kovara Hawar	314182	81	50	314213	0.00015913	0.00015914	0.61728395
Rudaw	Rojnama Kurdistan	314182	86	62	314206	0.00019732	0.00019734	0.72093023
Rudaw	Kovara Jîn	314182	79	55	314206	0.00017504	0.00017506	0.69620253
Rudaw	Folklora Kurmanca (1936)	314182	80	49	314213	0.00015595	0.00015596	0.61250000
Rudaw	Kurd Teavun Terakki (1908)	314182	70	45	314207	0.00014322	0.00014323	0.64285714
Rudaw	Rojî Kurd (1913)	314182	69	51	314200	0.00016232	0.00016233	0.73913043
Rudaw	Dîrok û Civaka Kurdan	314182	77	39	314220	0.00012412	0.00012413	0.50649351
Pirtûkên Kurmancî Katalog	Kurmanji Beginners	505	11740	175	12070	0.01449876	0.34653465	0.01490630
Pirtûkên Kurmancî Katalog	Kovara Kurmancî	505	85	18	572	0.03146853	0.03564356	0.21176471
Pirtûkên Kurmancî Katalog	Kovara Hawar	505	81	17	569	0.02987698	0.03366337	0.20987654
Pirtûkên Kurmancî Katalog	Rojnama Kurdistan	505	86	14	577	0.02426343	0.02772277	0.16279070
Pirtûkên Kurmancî Katalog	Kovara Jîn	505	79	13	571	0.02276708	0.02574257	0.16455696
Pirtûkên Kurmancî Katalog	Folklora Kurmanca (1936)	505	80	18	567	0.03174603	0.03564356	0.22500000
Pirtûkên Kurmancî Katalog	Kurd Teavun Terakki (1908)	505	70	11	564	0.01950355	0.02178218	0.15714286
Pirtûkên Kurmancî Katalog	Rojî Kurd (1913)	505	69	12	562	0.02135231	0.02376238	0.17391304
Pirtûkên Kurmancî Katalog	Dîrok û Civaka Kurdan	505	77	11	571	0.01926445	0.02178218	0.14285714
Kurmanji Beginners	Kovara Kurmancî	11740	85	42	11783	0.00356446	0.00357751	0.49411765
Kurmanji Beginners	Kovara Hawar	11740	81	43	11778	0.00365087	0.00366269	0.53086420
Kurmanji Beginners	Rojnama Kurdistan	11740	86	43	11783	0.00364933	0.00366269	0.50000000
Kurmanji Beginners	Kovara Jîn	11740	79	39	11780	0.00331070	0.00332198	0.49367089
Kurmanji Beginners	Folklora Kurmanca (1936)	11740	80	30	11790	0.00254453	0.00255537	0.37500000
Kurmanji Beginners	Kurd Teavun Terakki (1908)	11740	70	31	11779	0.00263180	0.00264055	0.44285714
Kurmanji Beginners	Rojî Kurd (1913)	11740	69	33	11776	0.00280231	0.00281090	0.47826087
Kurmanji Beginners	Dîrok û Civaka Kurdan	11740	77	36	11781	0.00305577	0.00306644	0.46753247
Kovara Kurmancî	Kovara Hawar	85	81	28	138	0.20289855	0.32941176	0.34567901
Kovara Kurmancî	Rojnama Kurdistan	85	86	27	144	0.18750000	0.31764706	0.31395349
Kovara Kurmancî	Kovara Jîn	85	79	25	139	0.17985612	0.29411765	0.31645570
Kovara Kurmancî	Folklora Kurmanca (1936)	85	80	25	140	0.17857143	0.29411765	0.31250000
Kovara Kurmancî	Kurd Teavun Terakki (1908)	85	70	23	132	0.17424242	0.27058824	0.32857143
Kovara Kurmancî	Rojî Kurd (1913)	85	69	27	127	0.21259843	0.31764706	0.39130435
Kovara Kurmancî	Dîrok û Civaka Kurdan	85	77	21	141	0.14893617	0.24705882	0.27272727
Kovara Hawar	Rojnama Kurdistan	81	86	30	137	0.21897810	0.37037037	0.34883721
Kovara Hawar	Kovara Jîn	81	79	26	134	0.19402985	0.32098765	0.32911392
Kovara Hawar	Folklora Kurmanca (1936)	81	80	26	135	0.19259259	0.32098765	0.32500000
Kovara Hawar	Kurd Teavun Terakki (1908)	81	70	23	128	0.17968750	0.28395062	0.32857143
Kovara Hawar	Rojî Kurd (1913)	81	69	24	126	0.19047619	0.29629630	0.34782609
Kovara Hawar	Dîrok û Civaka Kurdan	81	77	20	138	0.14492754	0.24691358	0.25974026
Rojnama Kurdistan	Kovara Jîn	86	79	31	134	0.23134328	0.36046512	0.39240506
Rojnama Kurdistan	Folklora Kurmanca (1936)	86	80	24	142	0.16901408	0.27906977	0.30000000
Rojnama Kurdistan	Kurd Teavun Terakki (1908)	86	70	26	130	0.20000000	0.30232558	0.37142857
Rojnama Kurdistan	Rojî Kurd (1913)	86	69	26	129	0.20155039	0.30232558	0.37681159
Rojnama Kurdistan	Dîrok û Civaka Kurdan	86	77	31	132	0.23484848	0.36046512	0.40259740
Kovara Jîn	Folklora Kurmanca (1936)	79	80	22	137	0.16058394	0.27848101	0.27500000
Kovara Jîn	Kurd Teavun Terakki (1908)	79	70	34	115	0.29565217	0.43037975	0.48571429
Kovara Jîn	Rojî Kurd (1913)	79	69	35	113	0.30973451	0.44303797	0.50724638
Kovara Jîn	Dîrok û Civaka Kurdan	79	77	24	132	0.18181818	0.30379747	0.31168831
Folklora Kurmanca (1936)	Kurd Teavun Terakki (1908)	80	70	19	131	0.14503817	0.23750000	0.27142857
Folklora Kurmanca (1936)	Rojî Kurd (1913)	80	69	21	128	0.16406250	0.26250000	0.30434783
Folklora Kurmanca (1936)	Dîrok û Civaka Kurdan	80	77	21	136	0.15441176	0.26250000	0.27272727
Kurd Teavun Terakki (1908)	Rojî Kurd (1913)	70	69	31	108	0.28703704	0.44285714	0.44927536
Kurd Teavun Terakki (1908)	Dîrok û Civaka Kurdan	70	77	23	124	0.18548387	0.32857143	0.29870130
Rojî Kurd (1913)	Dîrok û Civaka Kurdan	69	77	23	123	0.18699187	0.33333333	0.29870130
