source_a	source_b	a_letter_forms	b_letter_forms	shared_letter_forms	union_letter_forms	jaccard	share_of_a_found_in_b	share_of_b_found_in_a
Mem û Zîn	ANHA	3882	54922	441	58363	0.00755616	0.11360124	0.00802957
Mem û Zîn	Ronahî	3882	62285	488	65679	0.00743008	0.12570840	0.00783495
Mem û Zîn	Rudaw	3882	229474	1032	232324	0.00444207	0.26584235	0.00449724
Mem û Zîn	Pirtûkên Kurmancî Katalog	3882	421	42	4261	0.00985684	0.01081917	0.09976247
Mem û Zîn	Kurmanji Beginners	3882	11364	299	14947	0.02000401	0.07702215	0.02631116
Mem û Zîn	Kovara Kurmancî	3882	77	11	3948	0.00278622	0.00283359	0.14285714
Mem û Zîn	Kovara Hawar	3882	73	12	3943	0.00304337	0.00309119	0.16438356
Mem û Zîn	Rojnama Kurdistan	3882	78	15	3945	0.00380228	0.00386399	0.19230769
Mem û Zîn	Kovara Jîn	3882	73	12	3943	0.00304337	0.00309119	0.16438356
Mem û Zîn	Folklora Kurmanca (1936)	3882	75	8	3949	0.00202583	0.00206079	0.10666667
Mem û Zîn	Kurd Teavun Terakki (1908)	3882	64	13	3933	0.00330536	0.00334879	0.20312500
Mem û Zîn	Rojî Kurd (1913)	3882	65	11	3936	0.00279472	0.00283359	0.16923077
Mem û Zîn	Dîrok û Civaka Kurdan	3882	74	12	3944	0.00304260	0.00309119	0.16216216
ANHA	Ronahî	54922	62285	29029	88178	0.32920910	0.52854958	0.46606727
ANHA	Rudaw	54922	229474	32463	251933	0.12885569	0.59107461	0.14146701
ANHA	Pirtûkên Kurmancî Katalog	54922	421	302	55041	0.00548682	0.00549871	0.71733967
ANHA	Kurmanji Beginners	54922	11364	2911	63375	0.04593294	0.05300244	0.25615980
ANHA	Kovara Kurmancî	54922	77	34	54965	0.00061858	0.00061906	0.44155844
ANHA	Kovara Hawar	54922	73	25	54970	0.00045479	0.00045519	0.34246575
ANHA	Rojnama Kurdistan	54922	78	30	54970	0.00054575	0.00054623	0.38461538
ANHA	Kovara Jîn	54922	73	33	54962	0.00060041	0.00060085	0.45205479
ANHA	Folklora Kurmanca (1936)	54922	75	27	54970	0.00049118	0.00049161	0.36000000
ANHA	Kurd Teavun Terakki (1908)	54922	64	25	54961	0.00045487	0.00045519	0.39062500
ANHA	Rojî Kurd (1913)	54922	65	29	54958	0.00052768	0.00052802	0.44615385
ANHA	Dîrok û Civaka Kurdan	54922	74	24	54972	0.00043659	0.00043698	0.32432432
Ronahî	Rudaw	62285	229474	39448	252311	0.15634673	0.63334671	0.17190619
Ronahî	Pirtûkên Kurmancî Katalog	62285	421	309	62397	0.00495216	0.00496107	0.73396675
Ronahî	Kurmanji Beginners	62285	11364	3251	70398	0.04618029	0.05219555	0.28607885
Ronahî	Kovara Kurmancî	62285	77	33	62329	0.00052945	0.00052982	0.42857143
Ronahî	Kovara Hawar	62285	73	24	62334	0.00038502	0.00038533	0.32876712
Ronahî	Rojnama Kurdistan	62285	78	29	62334	0.00046524	0.00046560	0.37179487
Ronahî	Kovara Jîn	62285	73	31	62327	0.00049738	0.00049771	0.42465753
Ronahî	Folklora Kurmanca (1936)	62285	75	26	62334	0.00041711	0.00041744	0.34666667
Ronahî	Kurd Teavun Terakki (1908)	62285	64	26	62323	0.00041718	0.00041744	0.40625000
Ronahî	Rojî Kurd (1913)	62285	65	28	62322	0.00044928	0.00044955	0.43076923
Ronahî	Dîrok û Civaka Kurdan	62285	74	23	62336	0.00036897	0.00036927	0.31081081
Rudaw	Pirtûkên Kurmancî Katalog	229474	421	362	229533	0.00157712	0.00157752	0.85985748
Rudaw	Kurmanji Beginners	229474	11364	5741	235097	0.02441971	0.02501808	0.50519183
Rudaw	Kovara Kurmancî	229474	77	50	229501	0.00021786	0.00021789	0.64935065
Rudaw	Kovara Hawar	229474	73	46	229501	0.00020043	0.00020046	0.63013699
Rudaw	Rojnama Kurdistan	229474	78	55	229497	0.00023965	0.00023968	0.70512821
