source	folder	surface_types	wordlike_occurrences	raw_token_types	source_unique_exact_forms	forms_shared_with_at_least_one_other_source	shared_percentage	nonspace_character_coverage
Mem û Zîn	001_MEM_U_ZIN	3932	7813	4319	2843	1089	27.70%	39346/39346
ANHA	002_ANHA	71523	28275212	92044	23664	47859	66.91%	137188942/137188942
Ronahî	003_RONAHI	84532	1977137	108571	28619	55913	66.14%	10102098/10102098
Rudaw	004_RUDAW	314182	17311859	446208	251654	62528	19.90%	84707765/84707765
Pirtûkên Kurmancî Katalog	005_PIRTUKEN_KURMANCI_KATALOG	505	1617	600	60	445	88.12%	8026/8026
Kurmanji Beginners	006_KURMANJI_BEGINNERS	11740	54650	16769	5698	6042	51.47%	246897/246897
Kovara Kurmancî	007_KOVARA_KURMANCI	85	105	88	16	69	81.18%	700/700
Kovara Hawar	008_KOVARA_HAWAR	81	100	87	14	67	82.72%	633/633
Rojnama Kurdistan	009_ROJNAMA_KURDISTAN	86	104	89	14	72	83.72%	634/634
Kovara Jîn	010_KOVARA_JIN	79	93	82	11	68	86.08%	592/592
Folklora Kurmanca (1936)	011_FOLKLORA_KURMANCA_1936	80	97	85	20	60	75.00%	611/611
Kurd Teavun Terakki (1908)	012_KURD_TEAVUN_TERAKKI_1908	70	81	72	14	56	80.00%	510/510
Rojî Kurd (1913)	013_ROJI_KURD_1913	69	88	72	8	61	88.41%	521/521
Dîrok û Civaka Kurdan	014_DIROK_U_CIVAKA_KURDAN	77	93	82	25	52	67.53%	562/562
