source	folder	letter_bearing_exact_forms	source_unique_letter_bearing_forms	shared_letter_bearing_forms	shared_non_template_risk_candidates	repeated_context_template_risk_forms	shared_percentage
Mem û Zîn	001_MEM_U_ZIN	3882	2816	1066	1061	5	27.46%
ANHA	002_ANHA	54922	18002	36920	36911	9	67.22%
Ronahî	003_RONAHI	62285	18352	43933	43924	9	70.54%
Rudaw	004_RUDAW	229474	179297	50177	50166	11	21.87%
Pirtûkên Kurmancî Katalog	005_PIRTUKEN_KURMANCI_KATALOG	421	54	367	361	6	87.17%
Kurmanji Beginners	006_KURMANJI_BEGINNERS	11364	5469	5895	5890	5	51.87%
Kovara Kurmancî	007_KOVARA_KURMANCI	77	14	63	51	12	81.82%
Kovara Hawar	008_KOVARA_HAWAR	73	10	63	51	12	86.30%
Rojnama Kurdistan	009_ROJNAMA_KURDISTAN	78	13	65	53	12	83.33%
Kovara Jîn	010_KOVARA_JIN	73	9	64	52	12	87.67%
Folklora Kurmanca (1936)	011_FOLKLORA_KURMANCA_1936	75	20	55	43	12	73.33%
Kurd Teavun Terakki (1908)	012_KURD_TEAVUN_TERAKKI_1908	64	12	52	40	12	81.25%
Rojî Kurd (1913)	013_ROJI_KURD_1913	65	8	57	45	12	87.69%
Dîrok û Civaka Kurdan	014_DIROK_U_CIVAKA_KURDAN	74	25	49	37	12	66.22%
