character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1407
<SPACE>	U+0020	SPACE	Zs	6521
!	U+0021	EXCLAMATION MARK	Po	152
""""	U+0022	QUOTATION MARK	Po	3
&	U+0026	AMPERSAND	Po	1
'	U+0027	APOSTROPHE	Po	181
(	U+0028	LEFT PARENTHESIS	Ps	77
)	U+0029	RIGHT PARENTHESIS	Pe	78
+	U+002B	PLUS SIGN	Sm	1
,	U+002C	COMMA	Po	521
-	U+002D	HYPHEN-MINUS	Pd	119
.	U+002E	FULL STOP	Po	537
/	U+002F	SOLIDUS	Po	5
0	U+0030	DIGIT ZERO	Nd	10
1	U+0031	DIGIT ONE	Nd	108
2	U+0032	DIGIT TWO	Nd	28
3	U+0033	DIGIT THREE	Nd	14
4	U+0034	DIGIT FOUR	Nd	5
5	U+0035	DIGIT FIVE	Nd	7
6	U+0036	DIGIT SIX	Nd	19
7	U+0037	DIGIT SEVEN	Nd	1
8	U+0038	DIGIT EIGHT	Nd	14
9	U+0039	DIGIT NINE	Nd	20
:	U+003A	COLON	Po	100
;	U+003B	SEMICOLON	Po	45
<	U+003C	LESS-THAN SIGN	Sm	6
>	U+003E	GREATER-THAN SIGN	Sm	9
?	U+003F	QUESTION MARK	Po	31
A	U+0041	LATIN CAPITAL LETTER A	Lu	191
B	U+0042	LATIN CAPITAL LETTER B	Lu	150
C	U+0043	LATIN CAPITAL LETTER C	Lu	20
D	U+0044	LATIN CAPITAL LETTER D	Lu	85
E	U+0045	LATIN CAPITAL LETTER E	Lu	244
F	U+0046	LATIN CAPITAL LETTER F	Lu	46
G	U+0047	LATIN CAPITAL LETTER G	Lu	58
H	U+0048	LATIN CAPITAL LETTER H	Lu	139
I	U+0049	LATIN CAPITAL LETTER I	Lu	49
J	U+004A	LATIN CAPITAL LETTER J	Lu	22
K	U+004B	LATIN CAPITAL LETTER K	Lu	101
L	U+004C	LATIN CAPITAL LETTER L	Lu	62
M	U+004D	LATIN CAPITAL LETTER M	Lu	201
N	U+004E	LATIN CAPITAL LETTER N	Lu	133
O	U+004F	LATIN CAPITAL LETTER O	Lu	65
P	U+0050	LATIN CAPITAL LETTER P	Lu	56
Q	U+0051	LATIN CAPITAL LETTER Q	Lu	23
R	U+0052	LATIN CAPITAL LETTER R	Lu	42
S	U+0053	LATIN CAPITAL LETTER S	Lu	76
T	U+0054	LATIN CAPITAL LETTER T	Lu	86
U	U+0055	LATIN CAPITAL LETTER U	Lu	12
V	U+0056	LATIN CAPITAL LETTER V	Lu	41
W	U+0057	LATIN CAPITAL LETTER W	Lu	32
X	U+0058	LATIN CAPITAL LETTER X	Lu	52
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	52
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	84
\	U+005C	REVERSE SOLIDUS	Po	7
_	U+005F	LOW LINE	Pc	4
a	U+0061	LATIN SMALL LETTER A	Ll	3372
b	U+0062	LATIN SMALL LETTER B	Ll	984
c	U+0063	LATIN SMALL LETTER C	Ll	290
d	U+0064	LATIN SMALL LETTER D	Ll	1460
e	U+0065	LATIN SMALL LETTER E	Ll	5023
f	U+0066	LATIN SMALL LETTER F	Ll	418
g	U+0067	LATIN SMALL LETTER G	Ll	352
h	U+0068	LATIN SMALL LETTER H	Ll	588
i	U+0069	LATIN SMALL LETTER I	Ll	2555
j	U+006A	LATIN SMALL LETTER J	Ll	195
k	U+006B	LATIN SMALL LETTER K	Ll	1310
l	U+006C	LATIN SMALL LETTER L	Ll	1724
m	U+006D	LATIN SMALL LETTER M	Ll	1140
n	U+006E	LATIN SMALL LETTER N	Ll	2591
o	U+006F	LATIN SMALL LETTER O	Ll	424
p	U+0070	LATIN SMALL LETTER P	Ll	231
q	U+0071	LATIN SMALL LETTER Q	Ll	170
r	U+0072	LATIN SMALL LETTER R	Ll	2248
s	U+0073	LATIN SMALL LETTER S	Ll	948
