entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	0	0	0	1	1	BODY	BODY-P000288-W00021	BODY-P000288-W00021	BODY-P000288-W00021	nur. Bir surenin başında gelmiştir, anlamı bilinmemektedir. (3) «Hayatına andolsun ki onlar sarhoşluklarında bocalıyor- lar» anlamındaki ayete işaret ediyor. MEM 0 ZIN	0	0	MEM::1	ZIN::1	1	0	0	0	0	0		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	01	01	01	2	1	BODY	BODY-P000122-W00016	BODY-P000123-W00012	BODY-P000122-W00016 | BODY-P000123-W00012	Hepsinin yönetimi ve geçimi seninledir, Ey yaratışın ve emrin bahçesine feyiz yağdıran Allah!. Senin emrin «01» sözcüğüyle iki alemi birden	0	0	emrin::1 | kendisi::1	sözcüğüyle::1 | ve::1	2	0 1	0	1	01	01		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	1	1	1	46	1	BODY	BODY-P000007-W00001	BODY-P000356-W00001	BODY-P000007-W00001 | BODY-P000050-W00001 | BODY-P000111-W00024 | BODY-P000118-W00013 | BODY-P000123-W00018 | BODY-P000134-W00008 | BODY-P000134-W00021 | BODY-P000145-W00021 | BODY-P000146-W00013 | BODY-P000160-W00008 | BODY-P000166-W00014 | BODY-P000170-W00022	1. Destana Mem û Zîn (Metna Temam)	9	8	zar::1 | cyb::1 | harfidir::1 | şıkrek::1 | şakır::1 | feleqte::1 | sezawar::1 | siyahlar::1 | derdindir::1 | kufari::1 | tave::1 | delirttin::1	Ev::2 | Destana::1 | Sala::1 | Aşıqe::1 | İşte::1 | Xani::1 | Birbirine::1 | Şex::1 | San'an::1 | Gencineye::1 | Ewi::1 | Emma::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	10	10	10	3	1	BODY	BODY-P000057-W00015	BODY-P000119-W00015	BODY-P000057-W00015 | BODY-P000064-W00017 | BODY-P000119-W00015	herfen Latini fı bı zare Tırki jı mera bfı nesib, em gelek kefxweşın. 20/10/1968 MEMO ZİN	0	0	20::2 | IE::1	1968::2 | ZİN::1	2	1 0	1	0	10	10		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	1113	1113	1113	1	1	BODY	BODY-P000061-W00005	BODY-P000061-W00005	BODY-P000061-W00005	İSLAM ANSİKLOPEDİSİ'nin 68. fasikül 1113. sayfasında kitabın adı ve yazarının bi­ yografisi kısaca geçmektedir. Bu kitabı çevirmekte ve yayınlamaktaki	0	0	fasikül::1	sayfasında::1	4	1 1 1 3	1	3	11	13		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	1113'anda	1113'anda	1113'anda	1	1	BODY	BODY-P000054-W00003	BODY-P000054-W00003	BODY-P000054-W00003	68'an, rfıpela 1113'anda derbaz dı be . ... Amanca me jı wergerandın u belavkırına ve pırtfıka: heja eve ku, em ve pırtfıka nemıra kılasiki jı xwendeva­	0	0	rfıpela::1	derbaz::1	9	1 1 1 3 ' a n d a	1	a	11	da		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	14	14	14	2	1	BODY	BODY-P000066-W00002	BODY-P000076-W00017	BODY-P000066-W00002 | BODY-P000076-W00017	Dı 14 saliya xweda ketiye jina nıvisariye. Xani jı bejeye Kurdi'ra xızmeteki pır heja kıriye iı. defınkırın. Le mıxabın ku tarixa wefata wi ne kıfşe. Meq­ bera wi lı Bayezida Rohelat ziyaretgaha xelkeyeο	0	0	Dı::1 | ilerlemiştir::1	saliya::1 | yaşların::1	2	1 4	1	4	14	14		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	1651	1651	1651	1	1	BODY	BODY-P000075-W00009	BODY-P000075-W00009	BODY-P000075-W00009	KAN' da gotlye ku: HANI'NİN BiYOGRAFİSİ Ahmed-i Hani 1651 yılında Hakkari bölgesinin Han	0	0	Hani::1	yılında::1	4	1 6 5 1	1	1	16	51		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	1651'e	1651'e	1651'e	1	1	BODY	BODY-P000065-W00007	BODY-P000065-W00007	BODY-P000065-W00007	JİNENİGARİY A XANİ Ehmede Xani sala 1651'e lı lıela Hekkari'ye lı gun­ de Xan'e hatiye dıne. Dı demeki kurtta bı zanin iı. zaniya­ riya xwe nav iı. deng daye, dı ve rasteda gelek peşda çiı.ye.	0	0	sala::1	lı::1	6	1 6 5 1 ' e	1	e	16	'e		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	1684'e	1684'e	1684'e	1	1	BODY	BODY-P000069-W00027	BODY-P000069-W00027	BODY-P000069-W00027	tev menzfıme. Dı sere her pışkeki weda ji şireteki der heqe mefa xwendme, xebate, rastiye u karen weha yen kome­ lida nıvisiye. Tarixa nıvisina NÜBARA BIÇÜKAN 1684'e. Jı bıl vana EQİDA İMANE ji bı nezım nıvisiye. Ev	0	0	BIÇÜKAN::1	Jı::1	6	1 6 8 4 ' e	1	e	16	'e		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
