character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	2
<SPACE>	U+0020	SPACE	Zs	26617271
!	U+0021	EXCLAMATION MARK	Po	4024
""""	U+0022	QUOTATION MARK	Po	149042
%	U+0025	PERCENT SIGN	Po	676
&	U+0026	AMPERSAND	Po	244
'	U+0027	APOSTROPHE	Po	64959
(	U+0028	LEFT PARENTHESIS	Ps	117523
)	U+0029	RIGHT PARENTHESIS	Pe	116899
*	U+002A	ASTERISK	Po	39765
+	U+002B	PLUS SIGN	Sm	305
,	U+002C	COMMA	Po	1187536
-	U+002D	HYPHEN-MINUS	Pd	301684
.	U+002E	FULL STOP	Po	1329809
/	U+002F	SOLIDUS	Po	54271
0	U+0030	DIGIT ZERO	Nd	444549
1	U+0031	DIGIT ONE	Nd	554480
2	U+0032	DIGIT TWO	Nd	639601
3	U+0033	DIGIT THREE	Nd	126114
4	U+0034	DIGIT FOUR	Nd	98196
5	U+0035	DIGIT FIVE	Nd	158510
6	U+0036	DIGIT SIX	Nd	269760
7	U+0037	DIGIT SEVEN	Nd	84897
8	U+0038	DIGIT EIGHT	Nd	99421
9	U+0039	DIGIT NINE	Nd	89776
:	U+003A	COLON	Po	367234
;	U+003B	SEMICOLON	Po	37044
<	U+003C	LESS-THAN SIGN	Sm	2474
=	U+003D	EQUALS SIGN	Sm	6941
>	U+003E	GREATER-THAN SIGN	Sm	2474
?	U+003F	QUESTION MARK	Po	56809
@	U+0040	COMMERCIAL AT	Po	126
A	U+0041	LATIN CAPITAL LETTER A	Lu	638920
B	U+0042	LATIN CAPITAL LETTER B	Lu	302279
C	U+0043	LATIN CAPITAL LETTER C	Lu	108972
D	U+0044	LATIN CAPITAL LETTER D	Lu	563220
E	U+0045	LATIN CAPITAL LETTER E	Lu	608970
F	U+0046	LATIN CAPITAL LETTER F	Lu	76288
G	U+0047	LATIN CAPITAL LETTER G	Lu	129512
H	U+0048	LATIN CAPITAL LETTER H	Lu	351160
I	U+0049	LATIN CAPITAL LETTER I	Lu	197161
J	U+004A	LATIN CAPITAL LETTER J	Lu	211090
K	U+004B	LATIN CAPITAL LETTER K	Lu	504413
L	U+004C	LATIN CAPITAL LETTER L	Lu	265138
M	U+004D	LATIN CAPITAL LETTER M	Lu	257576
N	U+004E	LATIN CAPITAL LETTER N	Lu	381973
O	U+004F	LATIN CAPITAL LETTER O	Lu	113476
P	U+0050	LATIN CAPITAL LETTER P	Lu	252932
Q	U+0051	LATIN CAPITAL LETTER Q	Lu	80299
R	U+0052	LATIN CAPITAL LETTER R	Lu	456420
S	U+0053	LATIN CAPITAL LETTER S	Lu	360746
T	U+0054	LATIN CAPITAL LETTER T	Lu	350218
U	U+0055	LATIN CAPITAL LETTER U	Lu	49667
V	U+0056	LATIN CAPITAL LETTER V	Lu	73503
W	U+0057	LATIN CAPITAL LETTER W	Lu	108035
X	U+0058	LATIN CAPITAL LETTER X	Lu	74345
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	212155
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	61580
[	U+005B	LEFT SQUARE BRACKET	Ps	44
]	U+005D	RIGHT SQUARE BRACKET	Pe	59
_	U+005F	LOW LINE	Pc	27345
`	U+0060	GRAVE ACCENT	Sk	22281
a	U+0061	LATIN SMALL LETTER A	Ll	13229866
b	U+0062	LATIN SMALL LETTER B	Ll	3935960
c	U+0063	LATIN SMALL LETTER C	Ll	591812
d	U+0064	LATIN SMALL LETTER D	Ll	5264890
e	U+0065	LATIN SMALL LETTER E	Ll	13437062
f	U+0066	LATIN SMALL LETTER F	Ll	497121
g	U+0067	LATIN SMALL LETTER G	Ll	1613824
h	U+0068	LATIN SMALL LETTER H	Ll	2507462
i	U+0069	LATIN SMALL LETTER I	Ll	11669605
j	U+006A	LATIN SMALL LETTER J	Ll	1613847
k	U+006B	LATIN SMALL LETTER K	Ll	5126246
l	U+006C	LATIN SMALL LETTER L	Ll	3057977
m	U+006D	LATIN SMALL LETTER M	Ll	2811576
n	U+006E	LATIN SMALL LETTER N	Ll	9665645
o	U+006F	LATIN SMALL LETTER O	Ll	2445975
p	U+0070	LATIN SMALL LETTER P	Ll	1251221
q	U+0071	LATIN SMALL LETTER Q	Ll	363254
r	U+0072	LATIN SMALL LETTER R	Ll	8489740
s	U+0073	LATIN SMALL LETTER S	Ll	2697175
t	U+0074	LATIN SMALL LETTER T	Ll	4202596
u	U+0075	LATIN SMALL LETTER U	Ll	1635787
v	U+0076	LATIN SMALL LETTER V	Ll	2297960
w	U+0077	LATIN SMALL LETTER W	Ll	1975318
x	U+0078	LATIN SMALL LETTER X	Ll	1176879
y	U+0079	LATIN SMALL LETTER Y	Ll	4266140
z	U+007A	LATIN SMALL LETTER Z	Ll	1229967
|	U+007C	VERTICAL LINE	Sm	10767
ª	U+00AA	FEMININE ORDINAL INDICATOR	Lo	12
·	U+00B7	MIDDLE DOT	Po	18
»	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	Pf	13
Å	U+00C5	LATIN CAPITAL LETTER A WITH RING ABOVE	Lu	100
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	95251
É	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE	Lu	15
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	119708
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	251049
Ö	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS	Lu	108
×	U+00D7	MULTIPLICATION SIGN	Sm	27571
Û	U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Lu	46828
Ü	U+00DC	LATIN CAPITAL LETTER U WITH DIAERESIS	Lu	80
ß	U+00DF	LATIN SMALL LETTER SHARP S	Ll	76
á	U+00E1	LATIN SMALL LETTER A WITH ACUTE	Ll	95
ä	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS	Ll	65
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	537660
è	U+00E8	LATIN SMALL LETTER E WITH GRAVE	Ll	89
é	U+00E9	LATIN SMALL LETTER E WITH ACUTE	Ll	944
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	7037308
ë	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS	Ll	22
í	U+00ED	LATIN SMALL LETTER I WITH ACUTE	Ll	9
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	4476116
ï	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS	Ll	8
ñ	U+00F1	LATIN SMALL LETTER N WITH TILDE	Ll	5
ó	U+00F3	LATIN SMALL LETTER O WITH ACUTE	Ll	83
ö	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS	Ll	34
ø	U+00F8	LATIN SMALL LETTER O WITH STROKE	Ll	8
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	2155150
ü	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	Ll	737
Ş	U+015E	LATIN CAPITAL LETTER S WITH CEDILLA	Lu	109335
ş	U+015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	1687264
Ž	U+017D	LATIN CAPITAL LETTER Z WITH CARON	Lu	25
ž	U+017E	LATIN SMALL LETTER Z WITH CARON	Ll	25
–	U+2013	EN DASH	Pd	12610
‘	U+2018	LEFT SINGLE QUOTATION MARK	Pi	46898
’	U+2019	RIGHT SINGLE QUOTATION MARK	Pf	168407
“	U+201C	LEFT DOUBLE QUOTATION MARK	Pi	49218
”	U+201D	RIGHT DOUBLE QUOTATION MARK	Pf	53582
•	U+2022	BULLET	Po	369
…	U+2026	HORIZONTAL ELLIPSIS	Po	1437
€	U+20AC	EURO SIGN	Sc	18
