character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	2
<SPACE>	U+0020	SPACE	Zs	1793961
!	U+0021	EXCLAMATION MARK	Po	125
#	U+0023	NUMBER SIGN	Po	2
$	U+0024	DOLLAR SIGN	Sc	7
%	U+0025	PERCENT SIGN	Po	51
&	U+0026	AMPERSAND	Po	6
'	U+0027	APOSTROPHE	Po	5
(	U+0028	LEFT PARENTHESIS	Ps	3199
)	U+0029	RIGHT PARENTHESIS	Pe	3187
*	U+002A	ASTERISK	Po	187
+	U+002B	PLUS SIGN	Sm	5
,	U+002C	COMMA	Po	58122
-	U+002D	HYPHEN-MINUS	Pd	24850
.	U+002E	FULL STOP	Po	115808
/	U+002F	SOLIDUS	Po	39397
0	U+0030	DIGIT ZERO	Nd	40684
1	U+0031	DIGIT ONE	Nd	28337
2	U+0032	DIGIT TWO	Nd	48690
3	U+0033	DIGIT THREE	Nd	25171
4	U+0034	DIGIT FOUR	Nd	16462
5	U+0035	DIGIT FIVE	Nd	19295
6	U+0036	DIGIT SIX	Nd	20366
7	U+0037	DIGIT SEVEN	Nd	15512
8	U+0038	DIGIT EIGHT	Nd	16607
9	U+0039	DIGIT NINE	Nd	14341
:	U+003A	COLON	Po	56575
;	U+003B	SEMICOLON	Po	1177
=	U+003D	EQUALS SIGN	Sm	5
?	U+003F	QUESTION MARK	Po	316
@	U+0040	COMMERCIAL AT	Po	2
A	U+0041	LATIN CAPITAL LETTER A	Lu	39022
B	U+0042	LATIN CAPITAL LETTER B	Lu	19505
C	U+0043	LATIN CAPITAL LETTER C	Lu	14155
D	U+0044	LATIN CAPITAL LETTER D	Lu	44710
E	U+0045	LATIN CAPITAL LETTER E	Lu	33657
F	U+0046	LATIN CAPITAL LETTER F	Lu	6475
G	U+0047	LATIN CAPITAL LETTER G	Lu	7238
H	U+0048	LATIN CAPITAL LETTER H	Lu	31789
I	U+0049	LATIN CAPITAL LETTER I	Lu	8369
J	U+004A	LATIN CAPITAL LETTER J	Lu	15118
K	U+004B	LATIN CAPITAL LETTER K	Lu	43341
L	U+004C	LATIN CAPITAL LETTER L	Lu	17791
