character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	1377
#	U+0023	NUMBER SIGN	Po	1
'	U+0027	APOSTROPHE	Po	1
(	U+0028	LEFT PARENTHESIS	Ps	56
)	U+0029	RIGHT PARENTHESIS	Pe	56
,	U+002C	COMMA	Po	10
-	U+002D	HYPHEN-MINUS	Pd	57
.	U+002E	FULL STOP	Po	91
/	U+002F	SOLIDUS	Po	9
0	U+0030	DIGIT ZERO	Nd	95
1	U+0031	DIGIT ONE	Nd	164
2	U+0032	DIGIT TWO	Nd	107
3	U+0033	DIGIT THREE	Nd	50
4	U+0034	DIGIT FOUR	Nd	46
5	U+0035	DIGIT FIVE	Nd	30
6	U+0036	DIGIT SIX	Nd	37
7	U+0037	DIGIT SEVEN	Nd	30
8	U+0038	DIGIT EIGHT	Nd	49
9	U+0039	DIGIT NINE	Nd	141
:	U+003A	COLON	Po	88
A	U+0041	LATIN CAPITAL LETTER A	Lu	26
B	U+0042	LATIN CAPITAL LETTER B	Lu	87
C	U+0043	LATIN CAPITAL LETTER C	Lu	85
D	U+0044	LATIN CAPITAL LETTER D	Lu	50
E	U+0045	LATIN CAPITAL LETTER E	Lu	48
F	U+0046	LATIN CAPITAL LETTER F	Lu	24
G	U+0047	LATIN CAPITAL LETTER G	Lu	12
H	U+0048	LATIN CAPITAL LETTER H	Lu	39
I	U+0049	LATIN CAPITAL LETTER I	Lu	61
J	U+004A	LATIN CAPITAL LETTER J	Lu	30
K	U+004B	LATIN CAPITAL LETTER K	Lu	63
L	U+004C	LATIN CAPITAL LETTER L	Lu	10
M	U+004D	LATIN CAPITAL LETTER M	Lu	80
N	U+004E	LATIN CAPITAL LETTER N	Lu	20
O	U+004F	LATIN CAPITAL LETTER O	Lu	6
P	U+0050	LATIN CAPITAL LETTER P	Lu	12
Q	U+0051	LATIN CAPITAL LETTER Q	Lu	4
R	U+0052	LATIN CAPITAL LETTER R	Lu	91
S	U+0053	LATIN CAPITAL LETTER S	Lu	77
T	U+0054	LATIN CAPITAL LETTER T	Lu	13
U	U+0055	LATIN CAPITAL LETTER U	Lu	22
V	U+0056	LATIN CAPITAL LETTER V	Lu	5
W	U+0057	LATIN CAPITAL LETTER W	Lu	3
X	U+0058	LATIN CAPITAL LETTER X	Lu	13
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	24
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	10
a	U+0061	LATIN SMALL LETTER A	Ll	844
b	U+0062	LATIN SMALL LETTER B	Ll	110
c	U+0063	LATIN SMALL LETTER C	Ll	28
d	U+0064	LATIN SMALL LETTER D	Ll	186
e	U+0065	LATIN SMALL LETTER E	Ll	645
f	U+0066	LATIN SMALL LETTER F	Ll	21
g	U+0067	LATIN SMALL LETTER G	Ll	36
h	U+0068	LATIN SMALL LETTER H	Ll	114
i	U+0069	LATIN SMALL LETTER I	Ll	365
j	U+006A	LATIN SMALL LETTER J	Ll	60
k	U+006B	LATIN SMALL LETTER K	Ll	155
l	U+006C	LATIN SMALL LETTER L	Ll	204
m	U+006D	LATIN SMALL LETTER M	Ll	253
n	U+006E	LATIN SMALL LETTER N	Ll	522
o	U+006F	LATIN SMALL LETTER O	Ll	210
p	U+0070	LATIN SMALL LETTER P	Ll	78
q	U+0071	LATIN SMALL LETTER Q	Ll	6
r	U+0072	LATIN SMALL LETTER R	Ll	403
s	U+0073	LATIN SMALL LETTER S	Ll	193
t	U+0074	LATIN SMALL LETTER T	Ll	151
u	U+0075	LATIN SMALL LETTER U	Ll	100
v	U+0076	LATIN SMALL LETTER V	Ll	98
w	U+0077	LATIN SMALL LETTER W	Ll	87
x	U+0078	LATIN SMALL LETTER X	Ll	34
y	U+0079	LATIN SMALL LETTER Y	Ll	136
z	U+007A	LATIN SMALL LETTER Z	Ll	62
|	U+007C	VERTICAL LINE	Sm	44
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	52
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	4
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	6
Û	U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Lu	6
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	15
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	351
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	293
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	121
