entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	4	1	BODY	BODY-P000007-W00001	BODY-P000203-W00001	BODY-P000007-W00001 | BODY-P000016-W00001 | BODY-P000103-W00002 | BODY-P000203-W00001	1. Katalog û Analîza Berheman	3	1	Rûpel::1	Katalog::1 | ji::1 | Mem::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1-8	1-8	1-8	2	1	BODY	BODY-P000045-W00004	BODY-P000229-W00005	BODY-P000045-W00004 | BODY-P000229-W00005	Dîwana Cigerxwîn (BeIên 1-8)	0	1	BeIên::2	Cigerxwîn::1	3	1 - 8	1	8	1-	-8		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	10	10	10	2	1	BODY	BODY-P000059-W00001	BODY-P000242-W00001	BODY-P000059-W00001 | BODY-P000242-W00001	10	2	1		Jiyana::1	2	1 0	1	0	10	10		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	11	11	11	2	1	BODY	BODY-P000063-W00001	BODY-P000246-W00001	BODY-P000063-W00001 | BODY-P000246-W00001	11	2	1		Dimdim::1	2	1 1	1	1	11	11		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	12	12	12	2	1	BODY	BODY-P000067-W00001	BODY-P000250-W00001	BODY-P000067-W00001 | BODY-P000250-W00001	12	2	1		Hopo::1	2	1 2	1	2	12	12		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	13	13	13	2	1	BODY	BODY-P000071-W00001	BODY-P000254-W00001	BODY-P000071-W00001 | BODY-P000254-W00001	13	2	1		Tu::1	2	1 3	1	3	13	13		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	14	14	14	2	1	BODY	BODY-P000075-W00001	BODY-P000258-W00001	BODY-P000075-W00001 | BODY-P000258-W00001	14	2	1		Girtî::1	2	1 4	1	4	14	14		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	15	15	15	2	1	BODY	BODY-P000079-W00001	BODY-P000262-W00001	BODY-P000079-W00001 | BODY-P000262-W00001	15	2	1		Mirina::1	2	1 5	1	5	15	15		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	16	16	16	2	1	BODY	BODY-P000083-W00001	BODY-P000267-W00001	BODY-P000083-W00001 | BODY-P000267-W00001	16	2	1		Siya::1	2	1 6	1	6	16	16		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	1692	1692	1692	3	1	BODY	BODY-P000019-W00001	BODY-P000204-W00008	BODY-P000019-W00001 | BODY-P000203-W00007 | BODY-P000204-W00008	1692	1	3	Xanî::1 | Çapê::1		4	1 6 9 2	1	2	16	92		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
