raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	#	1	#	#	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(1692)	1	(1692)	(1692)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	(1930)	1	(1930)	(1930)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	(1932)	1	(1932)	(1932)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	(1945-1984)	1	(1945-1984)	(1945-1984)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	(1956)	1	(1956)	(1956)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	(1959)	2	(1959)	(1959)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	(1966)	1	(1966)	(1966)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	(1969)	1	(1969)	(1969)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	(1985)	1	(1985)	(1985)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	(1986)	1	(1986)	(1986)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	(1987)	1	(1987)	(1987)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	(1989)	1	(1989)	(1989)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	(1991)	1	(1991)	(1991)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	(1992)	2	(1992)	(1992)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	(1993)	1	(1993)	(1993)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	(1994)	1	(1994)	(1994)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	(1995)	1	(1995)	(1995)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	(1996)	1	(1996)	(1996)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	(1997)	1	(1997)	(1997)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	(1998)	2	(1998)	(1998)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	(1999)	2	(1999)	(1999)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	(2	2	(2	(2	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	(2001-2003)	1	(2001-2003)	(2001-2003)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	(2004)	1	(2004)	(2004)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	(2005)	1	(2005)	(2005)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	(2007)	2	(2007)	(2007)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	(2008)	2	(2008)	(2008)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	(2011)	2	(2011)	(2011)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	(2012)	1	(2012)	(2012)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	(2013)	1	(2013)	(2013)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	(2014)	3	(2014)	(2014)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	(2016)	1	(2016)	(2016)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	(2017)	1	(2017)	(2017)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	(BeIên	2	(BeIên	(beiên	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	(BERIYA	3	(BERIYA	(beriya	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	(Ereb	2	(Ereb	(ereb	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	(Iêxmus	2	(Iêxmus	(iêxmus	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	(Sedsala	3	(Sedsala	(sedsala	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	(Swêd).	1	(Swêd).	(swêd).	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	-	44	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	/	9	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	1	2	1	1	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	1-8)	2	1-8)	1-8)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	10	1	10	10	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
