character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	43913
!	U+0021	EXCLAMATION MARK	Po	82
""""	U+0022	QUOTATION MARK	Po	2
&	U+0026	AMPERSAND	Po	7
'	U+0027	APOSTROPHE	Po	7
(	U+0028	LEFT PARENTHESIS	Ps	1322
)	U+0029	RIGHT PARENTHESIS	Pe	1376
*	U+002A	ASTERISK	Po	1
+	U+002B	PLUS SIGN	Sm	72
,	U+002C	COMMA	Po	2917
-	U+002D	HYPHEN-MINUS	Pd	998
.	U+002E	FULL STOP	Po	6550
/	U+002F	SOLIDUS	Po	463
0	U+0030	DIGIT ZERO	Nd	101
1	U+0031	DIGIT ONE	Nd	407
2	U+0032	DIGIT TWO	Nd	350
3	U+0033	DIGIT THREE	Nd	218
4	U+0034	DIGIT FOUR	Nd	108
5	U+0035	DIGIT FIVE	Nd	82
6	U+0036	DIGIT SIX	Nd	72
7	U+0037	DIGIT SEVEN	Nd	59
8	U+0038	DIGIT EIGHT	Nd	69
9	U+0039	DIGIT NINE	Nd	81
:	U+003A	COLON	Po	733
;	U+003B	SEMICOLON	Po	1633
<	U+003C	LESS-THAN SIGN	Sm	2
=	U+003D	EQUALS SIGN	Sm	341
>	U+003E	GREATER-THAN SIGN	Sm	15
?	U+003F	QUESTION MARK	Po	450
A	U+0041	LATIN CAPITAL LETTER A	Lu	324
B	U+0042	LATIN CAPITAL LETTER B	Lu	181
C	U+0043	LATIN CAPITAL LETTER C	Lu	153
D	U+0044	LATIN CAPITAL LETTER D	Lu	285
E	U+0045	LATIN CAPITAL LETTER E	Lu	580
F	U+0046	LATIN CAPITAL LETTER F	Lu	103
G	U+0047	LATIN CAPITAL LETTER G	Lu	167
H	U+0048	LATIN CAPITAL LETTER H	Lu	328
I	U+0049	LATIN CAPITAL LETTER I	Lu	662
J	U+004A	LATIN CAPITAL LETTER J	Lu	63
K	U+004B	LATIN CAPITAL LETTER K	Lu	568
