raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	"""Tu"	1	"""Tu"	"""tu"	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	&	2	&	&	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	&c.)	4	&c.)	&c.)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	&c.);	1	&c.);	&c.);	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	'	2	'	'	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	'come'	1	'come'	'come'	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	'see'	1	'see'	'see'	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	(	4	(	(	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	((question)/whether	1	((question)/whether	((question)/whether	19	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	(+	22	(+	(+	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	(-ê	1	(-ê	(-ê	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	(-ên	1	(-ên	(-ên	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	(-î	1	(-î	(-î	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	(1	2	(1	(1	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	(1)	12	(1)	(1)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	(1)…………..	1	(1)…………..	(1)…………..	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	(10)	2	(10)	(10)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	(101)	1	(101)	(101)	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	(11)	2	(11)	(11)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	(12)	1	(12)	(12)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	(13)	1	(13)	(13)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	(14)	1	(14)	(14)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	(15)	1	(15)	(15)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	(16)	1	(16)	(16)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	(17)	1	(17)	(17)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	(18)	1	(18)	(18)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	(19)	1	(19)	(19)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	(1pl.	1	(1pl.	(1pl.	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	(1sg.	5	(1sg.	(1sg.	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	(1st	15	(1st	(1st	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	(1st,	2	(1st,	(1st,	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	(2)	14	(2)	(2)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	(2)…………..,	1	(2)…………..,	(2)…………..,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	(20)	1	(20)	(20)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	(2001),	1	(2001),	(2001),	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	(2003)	2	(2003)	(2003)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	(2003),	1	(2003),	(2003),	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	(2003,	1	(2003,	(2003,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	(2006).	2	(2006).	(2006).	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	(21)	2	(21)	(21)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	(22)	1	(22)	(22)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	(23)	1	(23)	(23)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	(24)	1	(24)	(24)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	(25)	1	(25)	(25)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	(26)	1	(26)	(26)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	(27)	1	(27)	(27)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	(28)	1	(28)	(28)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	(2nd	2	(2nd	(2nd	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	(3	17	(3	(3	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	(3)	5	(3)	(3)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	(3)……………	1	(3)……………	(3)……………	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	(3rd	45	(3rd	(3rd	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	(3rd.	1	(3rd.	(3rd.	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	(3sg.	3	(3sg.	(3sg.	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	(4)	2	(4)	(4)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	(4)…………...	1	(4)…………...	(4)…………...	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	(46)	1	(46)	(46)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	(5)	1	(5)	(5)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	(5)………….	1	(5)………….	(5)………….	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	(6)	1	(6)	(6)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	(6)………..	1	(6)………..	(6)………..	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	(7)	1	(7)	(7)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	(7)………….	1	(7)………….	(7)………….	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	(8)	1	(8)	(8)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	(8)………………...	1	(8)………………...	(8)………………...	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	(9)	1	(9)	(9)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	(99)	1	(99)	(99)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	(=bi	1	(=bi	(=bi	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	(=di	1	(=di	(=di	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
