character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	97
(	U+0028	LEFT PARENTHESIS	Ps	3
)	U+0029	RIGHT PARENTHESIS	Pe	3
,	U+002C	COMMA	Po	16
-	U+002D	HYPHEN-MINUS	Pd	2
.	U+002E	FULL STOP	Po	9
/	U+002F	SOLIDUS	Po	1
0	U+0030	DIGIT ZERO	Nd	4
1	U+0031	DIGIT ONE	Nd	7
2	U+0032	DIGIT TWO	Nd	4
3	U+0033	DIGIT THREE	Nd	1
4	U+0034	DIGIT FOUR	Nd	2
7	U+0037	DIGIT SEVEN	Nd	4
8	U+0038	DIGIT EIGHT	Nd	2
9	U+0039	DIGIT NINE	Nd	2
A	U+0041	LATIN CAPITAL LETTER A	Lu	5
B	U+0042	LATIN CAPITAL LETTER B	Lu	2
C	U+0043	LATIN CAPITAL LETTER C	Lu	2
D	U+0044	LATIN CAPITAL LETTER D	Lu	3
E	U+0045	LATIN CAPITAL LETTER E	Lu	3
H	U+0048	LATIN CAPITAL LETTER H	Lu	1
I	U+0049	LATIN CAPITAL LETTER I	Lu	2
J	U+004A	LATIN CAPITAL LETTER J	Lu	1
K	U+004B	LATIN CAPITAL LETTER K	Lu	13
M	U+004D	LATIN CAPITAL LETTER M	Lu	2
N	U+004E	LATIN CAPITAL LETTER N	Lu	3
O	U+004F	LATIN CAPITAL LETTER O	Lu	2
P	U+0050	LATIN CAPITAL LETTER P	Lu	4
R	U+0052	LATIN CAPITAL LETTER R	Lu	6
S	U+0053	LATIN CAPITAL LETTER S	Lu	3
T	U+0054	LATIN CAPITAL LETTER T	Lu	5
U	U+0055	LATIN CAPITAL LETTER U	Lu	2
V	U+0056	LATIN CAPITAL LETTER V	Lu	1
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	1
a	U+0061	LATIN SMALL LETTER A	Ll	71
b	U+0062	LATIN SMALL LETTER B	Ll	7
c	U+0063	LATIN SMALL LETTER C	Ll	23
d	U+0064	LATIN SMALL LETTER D	Ll	23
e	U+0065	LATIN SMALL LETTER E	Ll	44
f	U+0066	LATIN SMALL LETTER F	Ll	7
g	U+0067	LATIN SMALL LETTER G	Ll	9
h	U+0068	LATIN SMALL LETTER H	Ll	11
i	U+0069	LATIN SMALL LETTER I	Ll	54
j	U+006A	LATIN SMALL LETTER J	Ll	3
k	U+006B	LATIN SMALL LETTER K	Ll	4
l	U+006C	LATIN SMALL LETTER L	Ll	25
m	U+006D	LATIN SMALL LETTER M	Ll	21
n	U+006E	LATIN SMALL LETTER N	Ll	43
o	U+006F	LATIN SMALL LETTER O	Ll	40
p	U+0070	LATIN SMALL LETTER P	Ll	10
r	U+0072	LATIN SMALL LETTER R	Ll	37
s	U+0073	LATIN SMALL LETTER S	Ll	36
t	U+0074	LATIN SMALL LETTER T	Ll	41
u	U+0075	LATIN SMALL LETTER U	Ll	15
v	U+0076	LATIN SMALL LETTER V	Ll	12
x	U+0078	LATIN SMALL LETTER X	Ll	3
y	U+0079	LATIN SMALL LETTER Y	Ll	12
z	U+007A	LATIN SMALL LETTER Z	Ll	5
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	1
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	1
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	1
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	4
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	13
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	3
