entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Extensive::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1-47	1-47	1-47	1	1	BODY	BODY-P000001-W00005	BODY-P000001-W00005	BODY-P000001-W00005	KORPUSA KOVARA KURMANCÎ (HEJMARÊN 1-47)	0	1	HEJMARÊN::1		4	1 - 4 7	1	7	1-	47		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	1987	1987	1987	1	1	BODY	BODY-P000008-W00016	BODY-P000008-W00016	BODY-P000008-W00016	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	from::1	to::1	4	1 9 8 7	1	7	19	87		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	1987-2010	1987-2010	1987-2010	1	1	BODY	BODY-P000002-W00014	BODY-P000002-W00014	BODY-P000002-W00014	Kovara Taybet a Enstîtuya Kurdî ya Parîsê li ser Termînolojî û Rêzimana Kurmancî (1987-2010)	0	1	Kurmancî::1		9	1 9 8 7 - 2 0 1 0	1	0	19	10		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Systematic::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	2010	2010	2010	1	1	BODY	BODY-P000008-W00018	BODY-P000008-W00018	BODY-P000008-W00018	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	to::1	across::1	4	2 0 1 0	2	0	20	10		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. Deep examination of construct linkers (Izafe), verbal transitivity, causative derivations, and passive morphology.	1	0		Deep::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	47	47	47	1	1	BODY	BODY-P000008-W00020	BODY-P000008-W00020	BODY-P000008-W00020	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	across::1	issues::1	2	4 7	4	7	47	47		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	a	a	a	1	1	BODY	BODY-P000002-W00003	BODY-P000002-W00003	BODY-P000002-W00003	Kovara Taybet a Enstîtuya Kurdî ya Parîsê li ser Termînolojî û Rêzimana Kurmancî (1987-2010)	0	0	Taybet::1	Enstîtuya::1	1	a	a	a	a	a		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	across	across	across	2	1	BODY	BODY-P000008-W00019	BODY-P000010-W00005	BODY-P000008-W00019 | BODY-P000010-W00005	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	2010::1 | comparison::1	47::1 | Botan::1	6	a c r o s s	a	s	ac	ss		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000011	and	and	and	4	1	BODY	BODY-P000008-W00030	BODY-P000012-W00012	BODY-P000008-W00030 | BODY-P000010-W00011 | BODY-P000011-W00009 | BODY-P000012-W00012	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	lexicography::1 | Rojava::1 | botanical::1 | derivations::1	dialectal::1 | Khorasan::1 | legal::1 | passive::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000012	Behdînan	Behdînan	behdînan	1	1	BODY	BODY-P000010-W00007	BODY-P000010-W00007	BODY-P000010-W00007	1. Extensive dialectal comparison across Botan, Behdînan, Serhed, Tor, Rojava, and Khorasan.	0	0	Botan::1	Serhed::1	8	B e h d î n a n	B	n	Be	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000013	Botan	Botan	botan	1	1	BODY	BODY-P000010-W00006	BODY-P000010-W00006	BODY-P000010-W00006	1. Extensive dialectal comparison across Botan, Behdînan, Serhed, Tor, Rojava, and Khorasan.	0	0	across::1	Behdînan::1	5	B o t a n	B	n	Bo	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000014	botanical	botanical	botanical	1	1	BODY	BODY-P000011-W00008	BODY-P000011-W00008	BODY-P000011-W00008	2. Systematic development of scientific, medical, grammatical, botanical, and legal terminology in Kurmanji.	0	0	grammatical::1	and::1	9	b o t a n i c a l	b	l	bo	al		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000015	by	by	by	1	1	BODY	BODY-P000008-W00009	BODY-P000008-W00009	BODY-P000008-W00009	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	published::1	the::1	2	b y	b	y	by	by		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000016	causative	causative	causative	1	1	BODY	BODY-P000012-W00010	BODY-P000012-W00010	BODY-P000012-W00010	3. Deep examination of construct linkers (Izafe), verbal transitivity, causative derivations, and passive morphology.	0	0	transitivity::1	derivations::1	9	c a u s a t i v e	c	e	ca	ve		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000017	comparison	comparison	comparison	1	1	BODY	BODY-P000010-W00004	BODY-P000010-W00004	BODY-P000010-W00004	1. Extensive dialectal comparison across Botan, Behdînan, Serhed, Tor, Rojava, and Khorasan.	0	0	dialectal::1	across::1	10	c o m p a r i s o n	c	n	co	on		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000018	construct	construct	construct	1	1	BODY	BODY-P000012-W00005	BODY-P000012-W00005	BODY-P000012-W00005	3. Deep examination of construct linkers (Izafe), verbal transitivity, causative derivations, and passive morphology.	0	0	of::1	linkers::1	9	c o n s t r u c t	c	t	co	ct		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000019	Contents	Contents	contents	1	1	BODY	BODY-P000004-W00003	BODY-P000004-W00003	BODY-P000004-W00003	Table of Contents / Pêrist	0	0	of::1	Pêrist::1	8	C o n t e n t s	C	s	Co	ts		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000020	Danasîn	Danasîn	danasîn	1	1	BODY	BODY-P000007-W00002	BODY-P000007-W00002	BODY-P000007-W00002	1. Danasîn û Naveroka Korpusa Dîrokî	0	0	1::1	û::1	7	D a n a s î n	D	n	Da	în		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000021	dedicated	dedicated	dedicated	1	1	BODY	BODY-P000008-W00022	BODY-P000008-W00022	BODY-P000008-W00022	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	issues::1	to::1	9	d e d i c a t e d	d	d	de	ed		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000022	Deep	Deep	deep	1	1	BODY	BODY-P000012-W00002	BODY-P000012-W00002	BODY-P000012-W00002	3. Deep examination of construct linkers (Izafe), verbal transitivity, causative derivations, and passive morphology.	0	0	3::1	examination::1	4	D e e p	D	p	De	ep		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000023	derivations	derivations	derivations	1	1	BODY	BODY-P000012-W00011	BODY-P000012-W00011	BODY-P000012-W00011	3. Deep examination of construct linkers (Izafe), verbal transitivity, causative derivations, and passive morphology.	0	0	causative::1	and::1	11	d e r i v a t i o n s	d	s	de	ns		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000024	development	development	development	1	1	BODY	BODY-P000011-W00003	BODY-P000011-W00003	BODY-P000011-W00003	2. Systematic development of scientific, medical, grammatical, botanical, and legal terminology in Kurmanji.	0	0	Systematic::1	of::1	11	d e v e l o p m e n t	d	t	de	nt		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000025	dialectal	dialectal	dialectal	2	1	BODY	BODY-P000008-W00031	BODY-P000010-W00003	BODY-P000008-W00031 | BODY-P000010-W00003	Kovara Kurmancî is the specialized linguistic periodical published by the Kurdish Institute of Paris from 1987 to 2010 across 47 issues, dedicated to Kurdish linguistic standardization, grammatical terminology, lexicography, and dialectal harmonization.	0	0	and::1 | Extensive::1	harmonization::1 | comparison::1	9	d i a l e c t a l	d	l	di	al		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000026	Dîrokî	Dîrokî	dîrokî	1	1	BODY	BODY-P000007-W00006	BODY-P000007-W00006	BODY-P000007-W00006	1. Danasîn û Naveroka Korpusa Dîrokî	0	1	Korpusa::1		6	D î r o k î	D	î	Dî	kî		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
