character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	94
(	U+0028	LEFT PARENTHESIS	Ps	4
)	U+0029	RIGHT PARENTHESIS	Pe	4
,	U+002C	COMMA	Po	9
-	U+002D	HYPHEN-MINUS	Pd	4
.	U+002E	FULL STOP	Po	9
/	U+002F	SOLIDUS	Po	1
1	U+0031	DIGIT ONE	Nd	8
2	U+0032	DIGIT TWO	Nd	4
3	U+0033	DIGIT THREE	Nd	4
4	U+0034	DIGIT FOUR	Nd	2
5	U+0035	DIGIT FIVE	Nd	4
7	U+0037	DIGIT SEVEN	Nd	2
9	U+0039	DIGIT NINE	Nd	4
A	U+0041	LATIN CAPITAL LETTER A	Lu	12
B	U+0042	LATIN CAPITAL LETTER B	Lu	3
C	U+0043	LATIN CAPITAL LETTER C	Lu	5
D	U+0044	LATIN CAPITAL LETTER D	Lu	6
E	U+0045	LATIN CAPITAL LETTER E	Lu	3
F	U+0046	LATIN CAPITAL LETTER F	Lu	1
H	U+0048	LATIN CAPITAL LETTER H	Lu	5
I	U+0049	LATIN CAPITAL LETTER I	Lu	1
J	U+004A	LATIN CAPITAL LETTER J	Lu	1
K	U+004B	LATIN CAPITAL LETTER K	Lu	9
L	U+004C	LATIN CAPITAL LETTER L	Lu	5
N	U+004E	LATIN CAPITAL LETTER N	Lu	2
O	U+004F	LATIN CAPITAL LETTER O	Lu	2
P	U+0050	LATIN CAPITAL LETTER P	Lu	2
R	U+0052	LATIN CAPITAL LETTER R	Lu	5
S	U+0053	LATIN CAPITAL LETTER S	Lu	1
T	U+0054	LATIN CAPITAL LETTER T	Lu	3
U	U+0055	LATIN CAPITAL LETTER U	Lu	1
V	U+0056	LATIN CAPITAL LETTER V	Lu	1
W	U+0057	LATIN CAPITAL LETTER W	Lu	1
X	U+0058	LATIN CAPITAL LETTER X	Lu	1
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	1
a	U+0061	LATIN SMALL LETTER A	Ll	65
b	U+0062	LATIN SMALL LETTER B	Ll	8
c	U+0063	LATIN SMALL LETTER C	Ll	10
d	U+0064	LATIN SMALL LETTER D	Ll	23
e	U+0065	LATIN SMALL LETTER E	Ll	39
f	U+0066	LATIN SMALL LETTER F	Ll	9
g	U+0067	LATIN SMALL LETTER G	Ll	7
h	U+0068	LATIN SMALL LETTER H	Ll	10
i	U+0069	LATIN SMALL LETTER I	Ll	38
j	U+006A	LATIN SMALL LETTER J	Ll	2
k	U+006B	LATIN SMALL LETTER K	Ll	6
l	U+006C	LATIN SMALL LETTER L	Ll	19
m	U+006D	LATIN SMALL LETTER M	Ll	12
n	U+006E	LATIN SMALL LETTER N	Ll	37
o	U+006F	LATIN SMALL LETTER O	Ll	31
p	U+0070	LATIN SMALL LETTER P	Ll	8
r	U+0072	LATIN SMALL LETTER R	Ll	42
s	U+0073	LATIN SMALL LETTER S	Ll	31
t	U+0074	LATIN SMALL LETTER T	Ll	38
u	U+0075	LATIN SMALL LETTER U	Ll	16
v	U+0076	LATIN SMALL LETTER V	Ll	6
w	U+0077	LATIN SMALL LETTER W	Ll	4
x	U+0078	LATIN SMALL LETTER X	Ll	2
y	U+0079	LATIN SMALL LETTER Y	Ll	14
z	U+007A	LATIN SMALL LETTER Z	Ll	1
|	U+007C	VERTICAL LINE	Sm	1
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	1
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	1
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	6
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	12
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	3
–	U+2013	EN DASH	Pd	1
