entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Codification::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1-57	1-57	1-57	1	1	BODY	BODY-P000002-W00006	BODY-P000002-W00006	BODY-P000002-W00006	Kovara Dîrokî ya Hawarê (Hejmarên 1-57) | Cihê Jidayikbûna Alfabeya Kurdî ya Latînî	0	0	Hejmarên::1	Cihê::1	4	1 - 5 7	1	7	1-	57		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	1932-1945	1932-1945	1932-1945	1	1	BODY	BODY-P000001-W00004	BODY-P000001-W00004	BODY-P000001-W00004	KORPUSA KOVARA HAWAR (1932-1945) - CELADET ALÎ BEDIRXAN	0	0	HAWAR::1	CELADET::1	9	1 9 3 2 - 1 9 4 5	1	5	19	45		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	1932–1945	1932–1945	1932–1945	1	1	BODY	BODY-P000008-W00004	BODY-P000008-W00004	BODY-P000008-W00004	Kovara Hawar (Damascus, 1932–1945, 57 issues) founded by Celadet Alî Bedirxan and Kamuran Alî Bedirxan is the foundational monument of modern Kurdish Latin literature and standardized orthography.	0	0	Damascus::1	57::1	9	1 9 3 2 – 1 9 4 5	1	5	19	45		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | First::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. Rich literary corpus comprising poetry, short stories, folk epics, translated world literature, and political essays.	1	0		Rich::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	31-letter	31-letter	31-letter	1	1	BODY	BODY-P000010-W00005	BODY-P000010-W00005	BODY-P000010-W00005	1. Codification of the 31-letter Latin alphabet (Alfabeya Hawarê).	0	0	the::1	Latin::1	9	3 1 - l e t t e r	3	r	31	er		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	57	57	57	1	1	BODY	BODY-P000008-W00005	BODY-P000008-W00005	BODY-P000008-W00005	Kovara Hawar (Damascus, 1932–1945, 57 issues) founded by Celadet Alî Bedirxan and Kamuran Alî Bedirxan is the foundational monument of modern Kurdish Latin literature and standardized orthography.	0	0	1932–1945::1	issues::1	2	5 7	5	7	57	57		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	Alfabeya	Alfabeya	alfabeya	2	1	BODY	BODY-P000002-W00009	BODY-P000010-W00008	BODY-P000002-W00009 | BODY-P000010-W00008	Kovara Dîrokî ya Hawarê (Hejmarên 1-57) | Cihê Jidayikbûna Alfabeya Kurdî ya Latînî	0	0	Jidayikbûna::1 | alphabet::1	Kurdî::1 | Hawarê::1	8	A l f a b e y a	A	a	Al	ya		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	alphabet	alphabet	alphabet	1	1	BODY	BODY-P000010-W00007	BODY-P000010-W00007	BODY-P000010-W00007	1. Codification of the 31-letter Latin alphabet (Alfabeya Hawarê).	0	0	Latin::1	Alfabeya::1	8	a l p h a b e t	a	t	al	et		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
