raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(1932-1945)	1	(1932-1945)	(1932-1945)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(Alfabeya	1	(Alfabeya	(alfabeya	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	(Damascus,	1	(Damascus,	(damascus,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	(Hejmarên	1	(Hejmarên	(hejmarên	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	-	1	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	1-57)	1	1-57)	1-57)	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	1932–1945,	1	1932–1945,	1932–1945,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	31-letter	1	31-letter	31-letter	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	57	1	57	57	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	Alfabeya	1	Alfabeya	alfabeya	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	alphabet	1	alphabet	alphabet	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	ALÎ	1	ALÎ	alî	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	Alî	2	Alî	alî	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	and	4	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	BEDIRXAN	1	BEDIRXAN	bedirxan	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	Bedirxan	2	Bedirxan	bedirxan	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	by	1	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	CELADET	1	CELADET	celadet	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	Celadet	1	Celadet	celadet	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	Cihê	1	Cihê	cihê	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	Codification	1	Codification	codification	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	comprising	1	comprising	comprising	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	conjugations.	1	conjugations.	conjugations.	13	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	corpus	1	corpus	corpus	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	Dîrokî	2	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	epics,	1	epics,	epics,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	ergativity,	1	ergativity,	ergativity,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	essays.	1	essays.	essays.	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	First	1	First	first	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	folk	1	folk	folk	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	foundational	1	foundational	foundational	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	founded	1	founded	founded	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	genders,	1	genders,	genders,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	grammar,	1	grammar,	grammar,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	HAWAR	1	HAWAR	hawar	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	Hawar	1	Hawar	hawar	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	Hawarê	1	Hawarê	hawarê	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	Hawarê).	1	Hawarê).	hawarê).	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	is	1	is	is	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	issues)	1	issues)	issues)	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	Jidayikbûna	1	Jidayikbûna	jidayikbûna	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	Kamuran	1	Kamuran	kamuran	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	KOVARA	1	KOVARA	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	Kovara	2	Kovara	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	Kurdish	2	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	Kurdî	1	Kurdî	kurdî	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
