entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Late::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1898	1898	1898	1	1	BODY	BODY-P000008-W00014	BODY-P000008-W00014	BODY-P000008-W00014	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	22::1	in::1	4	1 8 9 8	1	8	18	98		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	1898-1902	1898-1902	1898-1902	1	1	BODY	BODY-P000001-W00004	BODY-P000001-W00004	BODY-P000001-W00004	KORPUSA ROJNAMA KURDISTAN (1898-1902) - MIKDAD MIDHAT BEDIRXAN	0	0	KURDISTAN::1	MIKDAD::1	9	1 8 9 8 - 1 9 0 2	1	2	18	02		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	19th-century	19th-century	19th-century	1	1	BODY	BODY-P000010-W00003	BODY-P000010-W00003	BODY-P000010-W00003	1. Late 19th-century Kurdish journalistic and political prose.	0	0	Late::1	Kurdish::1	12	1 9 t h - c e n t u r y	1	y	19	ry		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Written::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	22	22	22	1	1	BODY	BODY-P000008-W00013	BODY-P000008-W00013	BODY-P000008-W00013	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	April::1	1898::1	2	2 2	2	2	22	22		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. Rich historical lexicon reflecting late Ottoman administrative, educational, and social vocabulary in authentic Kurmanji.	1	0		Rich::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	31	31	31	1	1	BODY	BODY-P000008-W00029	BODY-P000008-W00029	BODY-P000008-W00029	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	across::1	issues::1	2	3 1	3	1	31	31		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	Abdurrahman	Abdurrahman	abdurrahman	1	1	BODY	BODY-P000008-W00025	BODY-P000008-W00025	BODY-P000008-W00025	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	by::1	Bedir::1	11	A b d u r r a h m a n	A	n	Ab	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	across	across	across	1	1	BODY	BODY-P000008-W00028	BODY-P000008-W00028	BODY-P000008-W00028	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	Khan::1	31::1	6	a c r o s s	a	s	ac	ss		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000011	administrative	administrative	administrative	1	1	BODY	BODY-P000012-W00008	BODY-P000012-W00008	BODY-P000012-W00008	3. Rich historical lexicon reflecting late Ottoman administrative, educational, and social vocabulary in authentic Kurmanji.	0	0	Ottoman::1	educational::1	14	a d m i n i s t r a t i v e	a	e	ad	ve		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000012	and	and	and	4	1	BODY	BODY-P000008-W00022	BODY-P000012-W00010	BODY-P000008-W00022 | BODY-P000010-W00006 | BODY-P000011-W00008 | BODY-P000012-W00010	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	Khan::1 | journalistic::1 | script::1 | educational::1	continued::1 | political::1 | transliterated::1 | social::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000013	April	April	april	1	1	BODY	BODY-P000008-W00012	BODY-P000008-W00012	BODY-P000008-W00012	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	on::1	22::1	5	A p r i l	A	l	Ap	il		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000014	Arabic-Persian	Arabic-Persian	arabic-persian	1	1	BODY	BODY-P000011-W00005	BODY-P000011-W00005	BODY-P000011-W00005	2. Written originally in Arabic-Persian modified script and transliterated/edited into Latin by M. E. Bozarslan.	0	0	in::1	modified::1	14	A r a b i c - P e r s i a n	A	n	Ar	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000015	authentic	authentic	authentic	1	1	BODY	BODY-P000012-W00014	BODY-P000012-W00014	BODY-P000012-W00014	3. Rich historical lexicon reflecting late Ottoman administrative, educational, and social vocabulary in authentic Kurmanji.	0	0	in::1	Kurmanji::1	9	a u t h e n t i c	a	c	au	ic		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000016	Bedir	Bedir	bedir	2	1	BODY	BODY-P000008-W00020	BODY-P000008-W00026	BODY-P000008-W00020 | BODY-P000008-W00026	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	Midhat::1 | Abdurrahman::1	Khan::2	5	B e d i r	B	r	Be	ir		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000017	BEDIRXAN	BEDIRXAN	bedirxan	1	1	BODY	BODY-P000001-W00007	BODY-P000001-W00007	BODY-P000001-W00007	KORPUSA ROJNAMA KURDISTAN (1898-1902) - MIKDAD MIDHAT BEDIRXAN	0	1	MIDHAT::1		8	B E D I R X A N	B	N	BE	AN		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000018	Bozarslan	Bozarslan	bozarslan	2	1	BODY	BODY-P000002-W00013	BODY-P000011-W00016	BODY-P000002-W00013 | BODY-P000011-W00016	Yekemîn Rojnama Kurdî ya Dîrokî (Qahîre, Cenevre, London, Folkestone) | Çapa M. Emîn Bozarslan	0	2	Emîn::1 | E::1		9	B o z a r s l a n	B	n	Bo	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000019	by	by	by	3	1	BODY	BODY-P000008-W00017	BODY-P000011-W00013	BODY-P000008-W00017 | BODY-P000008-W00024 | BODY-P000011-W00013	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	Cairo::1 | continued::1 | Latin::1	Mikdad::1 | Abdurrahman::1 | M::1	2	b y	b	y	by	by		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000020	Cairo	Cairo	cairo	1	1	BODY	BODY-P000008-W00016	BODY-P000008-W00016	BODY-P000008-W00016	Rojnama Kurdistan is the first Kurdish newspaper in history, founded on April 22, 1898 in Cairo by Mikdad Midhat Bedir Khan and continued by Abdurrahman Bedir Khan across 31 issues.	0	0	in::1	by::1	5	C a i r o	C	o	Ca	ro		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
