raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(1898-1902)	1	(1898-1902)	(1898-1902)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(Qahîre,	1	(Qahîre,	(qahîre,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	-	1	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	1898	1	1898	1898	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	19th-century	1	19th-century	19th-century	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	22,	1	22,	22,	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	31	1	31	31	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	Abdurrahman	1	Abdurrahman	abdurrahman	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	across	1	across	across	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	administrative,	1	administrative,	administrative,	15	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	and	4	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	April	1	April	april	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	Arabic-Persian	1	Arabic-Persian	arabic-persian	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	authentic	1	authentic	authentic	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	Bedir	2	Bedir	bedir	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	BEDIRXAN	1	BEDIRXAN	bedirxan	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	Bozarslan	1	Bozarslan	bozarslan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	Bozarslan.	1	Bozarslan.	bozarslan.	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	by	3	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	Cairo	1	Cairo	cairo	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	Cenevre,	1	Cenevre,	cenevre,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	continued	1	continued	continued	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	Dîrokî	2	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	E.	1	E.	e.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	educational,	1	educational,	educational,	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	Emîn	1	Emîn	emîn	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	first	1	first	first	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	Folkestone)	1	Folkestone)	folkestone)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	founded	1	founded	founded	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	historical	1	historical	historical	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	history,	1	history,	history,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	in	4	in	in	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	into	1	into	into	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	is	1	is	is	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	issues.	1	issues.	issues.	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	journalistic	1	journalistic	journalistic	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	Khan	2	Khan	khan	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	Kurdish	2	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	KURDISTAN	1	KURDISTAN	kurdistan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	Kurdistan	1	Kurdistan	kurdistan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	Kurdî	1	Kurdî	kurdî	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	Kurmanji.	1	Kurmanji.	kurmanji.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	Late	1	Late	late	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	late	1	late	late	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	Latin	1	Latin	latin	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	lexicon	1	lexicon	lexicon	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	London,	1	London,	london,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	M.	2	M.	m.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	MIDHAT	1	MIDHAT	midhat	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	Midhat	1	Midhat	midhat	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	MIKDAD	1	MIKDAD	mikdad	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	Mikdad	1	Mikdad	mikdad	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	modified	1	modified	modified	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	Naveroka	1	Naveroka	naveroka	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	newspaper	1	newspaper	newspaper	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	of	1	of	of	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	on	1	on	on	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	originally	1	originally	originally	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	Ottoman	1	Ottoman	ottoman	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	political	1	political	political	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	prose.	1	prose.	prose.	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000070	Pêrist	1	Pêrist	pêrist	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000071	reflecting	1	reflecting	reflecting	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000072	Rich	1	Rich	rich	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000073	ROJNAMA	1	ROJNAMA	rojnama	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000074	Rojnama	2	Rojnama	rojnama	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000075	script	1	script	script	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000076	social	1	social	social	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000077	Table	1	Table	table	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000078	Taybetmendiyên	1	Taybetmendiyên	taybetmendiyên	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000079	the	1	the	the	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000080	transliterated/edited	1	transliterated/edited	transliterated/edited	21	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000081	vocabulary	1	vocabulary	vocabulary	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000082	Written	1	Written	written	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000083	ya	1	ya	ya	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000084	Yekemîn	1	Yekemîn	yekemîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000085	Zimanî	1	Zimanî	zimanî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000086	|	1	|	|	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000087	Çapa	1	Çapa	çapa	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000088	Çavkanî	1	Çavkanî	çavkanî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000089	û	2	û	û	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
