entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Post-WWI::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1-5	1-5	1-5	1	1	BODY	BODY-P000002-W00008	BODY-P000002-W00008	BODY-P000002-W00008	Kovara Kurdî-Tirkî ya Civata Pêşketina Kurdistanê (Cild 1-5) | Çapa M. Emîn Bozarslan	0	0	Cild::1	Çapa::1	3	1 - 5	1	5	1-	-5		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	1918-1919	1918-1919	1918-1919	1	1	BODY	BODY-P000001-W00004	BODY-P000001-W00004	BODY-P000001-W00004	KORPUSA KOVARA JÎN (1918-1919) - ISTANBUL	0	0	JÎN::1	ISTANBUL::1	9	1 9 1 8 - 1 9 1 9	1	9	19	19		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	1918–1919	1918–1919	1918–1919	1	1	BODY	BODY-P000008-W00009	BODY-P000008-W00009	BODY-P000008-W00009	Kovara Jîn (Life) was published in Istanbul in 1918–1919 as the intellectual organ of the Society for the Advancement of Kurdistan (Kürdistan Teali Cemiyeti), featuring Kurdish and Ottoman Turkish essays.	0	0	in::1	as::1	9	1 9 1 8 – 1 9 1 9	1	9	19	19		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Bilingual::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. Classical poetry, national folklore documentation, and social philosophy.	1	0		Classical::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	Advancement	Advancement	advancement	1	1	BODY	BODY-P000008-W00019	BODY-P000008-W00019	BODY-P000008-W00019	Kovara Jîn (Life) was published in Istanbul in 1918–1919 as the intellectual organ of the Society for the Advancement of Kurdistan (Kürdistan Teali Cemiyeti), featuring Kurdish and Ottoman Turkish essays.	0	0	the::1	of::1	11	A d v a n c e m e n t	A	t	Ad	nt		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	and	and	and	3	1	BODY	BODY-P000008-W00027	BODY-P000012-W00007	BODY-P000008-W00027 | BODY-P000010-W00005 | BODY-P000012-W00007	Kovara Jîn (Life) was published in Istanbul in 1918–1919 as the intellectual organ of the Society for the Advancement of Kurdistan (Kürdistan Teali Cemiyeti), featuring Kurdish and Ottoman Turkish essays.	0	0	Kurdish::1 | intellectual::1 | documentation::1	Ottoman::1 | political::1 | social::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	as	as	as	1	1	BODY	BODY-P000008-W00010	BODY-P000008-W00010	BODY-P000008-W00010	Kovara Jîn (Life) was published in Istanbul in 1918–1919 as the intellectual organ of the Society for the Advancement of Kurdistan (Kürdistan Teali Cemiyeti), featuring Kurdish and Ottoman Turkish essays.	0	0	1918–1919::1	the::1	2	a s	a	s	as	as		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	Bilingual	Bilingual	bilingual	1	1	BODY	BODY-P000011-W00002	BODY-P000011-W00002	BODY-P000011-W00002	2. Bilingual Kurdish-Ottoman comparative syntactic patterns.	0	0	2::1	Kurdish-Ottoman::1	9	B i l i n g u a l	B	l	Bi	al		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
