raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(1918-1919)	1	(1918-1919)	(1918-1919)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(Cild	1	(Cild	(cild	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	(Kürdistan	1	(Kürdistan	(kürdistan	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	(Life)	1	(Life)	(life)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	(Memdûh	1	(Memdûh	(memdûh	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	-	1	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	1-5)	1	1-5)	1-5)	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	1918–1919	1	1918–1919	1918–1919	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	Advancement	1	Advancement	advancement	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	and	3	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	as	1	as	as	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	Bilingual	1	Bilingual	bilingual	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	Bozarslan	1	Bozarslan	bozarslan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	by	1	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	Cemiyeti),	1	Cemiyeti),	cemiyeti),	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	Civata	1	Civata	civata	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	Classical	1	Classical	classical	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	comparative	1	comparative	comparative	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	documentation,	1	documentation,	documentation,	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	Dîrokî	1	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	Emîn	1	Emîn	emîn	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	essays.	1	essays.	essays.	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	etc.).	1	etc.).	etc.).	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	featuring	1	featuring	featuring	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	folklore	1	folklore	folklore	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	for	1	for	for	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	Hesen	1	Hesen	hesen	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	Hişyar,	1	Hişyar,	hişyar,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	in	2	in	in	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	intellectual	2	intellectual	intellectual	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	ISTANBUL	1	ISTANBUL	istanbul	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	Istanbul	1	Istanbul	istanbul	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	JÎN	1	JÎN	jîn	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	Jîn	1	Jîn	jîn	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	KOVARA	1	KOVARA	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	Kovara	2	Kovara	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	Kurdish	3	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	Kurdish-Ottoman	1	Kurdish-Ottoman	kurdish-ottoman	15	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	Kurdistan	1	Kurdistan	kurdistan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	Kurdistanê	1	Kurdistanê	kurdistanê	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	Kurdî-Tirkî	1	Kurdî-Tirkî	kurdî-tirkî	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	M.	1	M.	m.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	national	1	national	national	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	Naveroka	1	Naveroka	naveroka	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	of	3	of	of	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	organ	1	organ	organ	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	Ottoman	1	Ottoman	ottoman	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	patterns.	1	patterns.	patterns.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	philosophy.	1	philosophy.	philosophy.	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	poetry,	1	poetry,	poetry,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	political	1	political	political	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	Post-WWI	1	Post-WWI	post-wwi	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	prominent	1	prominent	prominent	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	prose	1	prose	prose	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	published	1	published	published	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	Pêrist	1	Pêrist	pêrist	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	Pêşketina	1	Pêşketina	pêşketina	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	Selîm,	1	Selîm,	selîm,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	social	1	social	social	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	Society	1	Society	society	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	syntactic	1	syntactic	syntactic	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000070	Table	1	Table	table	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000071	Taybetmendiyên	1	Taybetmendiyên	taybetmendiyên	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000072	Teali	1	Teali	teali	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000073	the	3	the	the	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000074	Turkish	1	Turkish	turkish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000075	was	1	was	was	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000076	writers	1	writers	writers	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000077	ya	1	ya	ya	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000078	Zimanî	1	Zimanî	zimanî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000079	|	1	|	|	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000080	Çapa	1	Çapa	çapa	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000081	Çavkanî	1	Çavkanî	çavkanî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
