entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Authentic::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1936	1936	1936	2	1	BODY	BODY-P000001-W00004	BODY-P000008-W00004	BODY-P000001-W00004 | BODY-P000008-W00004	KORPUSA FOLKLORA KURMANCA (1936) - HECÎYÊ CINDÎ & EMÎNÊ EVDAL	0	0	KURMANCA::1 | Yerevan::1	HECÎYÊ::1 | 670::1	4	1 9 3 6	1	6	19	36		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Rich::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. Distinctive phonological and lexical traits of Soviet Kurdish linguistic traditions.	1	0		Distinctive::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	670	670	670	1	1	BODY	BODY-P000008-W00005	BODY-P000008-W00005	BODY-P000008-W00005	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	1936::1	pages::1	3	6 7 0	6	0	67	70		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	Alan	Alan	alan	1	1	BODY	BODY-P000011-W00013	BODY-P000011-W00013	BODY-P000011-W00013	2. Rich inventory of traditional oral formulaic structures, epics (Kela Dimdim, Memê Alan), and proverbs.	0	0	Memê::1	and::1	4	A l a n	A	n	Al	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	and	and	and	4	1	BODY	BODY-P000008-W00011	BODY-P000012-W00004	BODY-P000008-W00011 | BODY-P000008-W00027 | BODY-P000011-W00014 | BODY-P000012-W00004	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	Cindî::1 | proverbs::1 | Alan::1 | phonological::1	Emînê::1 | folk::1 | proverbs::1 | lexical::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	Authentic	Authentic	authentic	1	1	BODY	BODY-P000010-W00002	BODY-P000010-W00002	BODY-P000010-W00002	1. Authentic oral folk register of Caucasus/Serhed Kurmanji.	0	0	1::1	oral::1	9	A u t h e n t i c	A	c	Au	ic		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	by	by	by	1	1	BODY	BODY-P000008-W00008	BODY-P000008-W00008	BODY-P000008-W00008	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	compiled::1	Heciyê::1	2	b y	b	y	by	by		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	Caucasus	Caucasus	caucasus	1	1	BODY	BODY-P000010-W00007	BODY-P000010-W00007	BODY-P000010-W00007	1. Authentic oral folk register of Caucasus/Serhed Kurmanji.	0	0	of::1	Serhed::1	8	C a u c a s u s	C	s	Ca	us		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000011	CINDÎ	CINDÎ	cindî	1	1	BODY	BODY-P000001-W00006	BODY-P000001-W00006	BODY-P000001-W00006	KORPUSA FOLKLORA KURMANCA (1936) - HECÎYÊ CINDÎ & EMÎNÊ EVDAL	0	0	HECÎYÊ::1	EMÎNÊ::1	5	C I N D Î	C	Î	CI	DÎ	Cindî	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000012	Cindî	Cindî	cindî	1	1	BODY	BODY-P000008-W00010	BODY-P000008-W00010	BODY-P000008-W00010	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	Heciyê::1	and::1	5	C i n d î	C	î	Ci	dî	CINDÎ	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000013	collection	collection	collection	1	1	BODY	BODY-P000008-W00020	BODY-P000008-W00020	BODY-P000008-W00020	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	folklore::1	containing::1	10	c o l l e c t i o n	c	n	co	on		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000014	compiled	compiled	compiled	1	1	BODY	BODY-P000008-W00007	BODY-P000008-W00007	BODY-P000008-W00007	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	pages::1	by::1	8	c o m p i l e d	c	d	co	ed		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000015	containing	containing	containing	1	1	BODY	BODY-P000008-W00021	BODY-P000008-W00021	BODY-P000008-W00021	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	collection::1	epics::1	10	c o n t a i n i n g	c	g	co	ng		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000016	Contents	Contents	contents	1	1	BODY	BODY-P000004-W00003	BODY-P000004-W00003	BODY-P000004-W00003	Table of Contents / Pêrist	0	0	of::1	Pêrist::1	8	C o n t e n t s	C	s	Co	ts		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000017	Danasîn	Danasîn	danasîn	1	1	BODY	BODY-P000007-W00002	BODY-P000007-W00002	BODY-P000007-W00002	1. Danasîn û Naveroka Korpusa Dîrokî	0	0	1::1	û::1	7	D a n a s î n	D	n	Da	în		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000018	dialogues	dialogues	dialogues	1	1	BODY	BODY-P000008-W00029	BODY-P000008-W00029	BODY-P000008-W00029	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	1	folk::1		9	d i a l o g u e s	d	s	di	es		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000019	Dimdim	Dimdim	dimdim	1	1	BODY	BODY-P000011-W00011	BODY-P000011-W00011	BODY-P000011-W00011	2. Rich inventory of traditional oral formulaic structures, epics (Kela Dimdim, Memê Alan), and proverbs.	0	0	Kela::1	Memê::1	6	D i m d i m	D	m	Di	im		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000020	Distinctive	Distinctive	distinctive	1	1	BODY	BODY-P000012-W00002	BODY-P000012-W00002	BODY-P000012-W00002	3. Distinctive phonological and lexical traits of Soviet Kurdish linguistic traditions.	0	0	3::1	phonological::1	11	D i s t i n c t i v e	D	e	Di	ve		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000021	Dîrokî	Dîrokî	dîrokî	2	1	BODY	BODY-P000002-W00002	BODY-P000007-W00006	BODY-P000002-W00002 | BODY-P000007-W00006	Koleksiyona Dîrokî ya Zargotina Kurdên Rewanê / Êrîvanê (Ermenistan - Yekîtiya Sovyetê)	0	1	Koleksiyona::1 | Korpusa::1	ya::1	6	D î r o k î	D	î	Dî	kî		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000022	EMÎNÊ	EMÎNÊ	emînê	1	1	BODY	BODY-P000001-W00007	BODY-P000001-W00007	BODY-P000001-W00007	KORPUSA FOLKLORA KURMANCA (1936) - HECÎYÊ CINDÎ & EMÎNÊ EVDAL	0	0	CINDÎ::1	EVDAL::1	5	E M Î N Ê	E	Ê	EM	NÊ	Emînê	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000023	Emînê	Emînê	emînê	1	1	BODY	BODY-P000008-W00012	BODY-P000008-W00012	BODY-P000008-W00012	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	and::1	Evdal::1	5	E m î n ê	E	ê	Em	nê	EMÎNÊ	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000024	epics	epics	epics	2	1	BODY	BODY-P000008-W00022	BODY-P000011-W00009	BODY-P000008-W00022 | BODY-P000011-W00009	Folklora Kurmanca (Yerevan, 1936, 670 pages) compiled by Heciyê Cindî and Emînê Evdal is the monumental Soviet Kurdish folklore collection containing epics, kilams, fairy tales, proverbs, and folk dialogues.	0	0	containing::1 | structures::1	kilams::1 | Kela::1	5	e p i c s	e	s	ep	cs		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000025	Ermenistan	Ermenistan	ermenistan	1	1	BODY	BODY-P000002-W00008	BODY-P000002-W00008	BODY-P000002-W00008	Koleksiyona Dîrokî ya Zargotina Kurdên Rewanê / Êrîvanê (Ermenistan - Yekîtiya Sovyetê)	0	0	Êrîvanê::1	Yekîtiya::1	10	E r m e n i s t a n	E	n	Er	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
