raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	&	1	&	&	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(1936)	1	(1936)	(1936)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	(Ermenistan	1	(Ermenistan	(ermenistan	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	(Kela	1	(Kela	(kela	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	(Yerevan,	1	(Yerevan,	(yerevan,	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	-	2	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	/	2	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	1936,	1	1936,	1936,	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	670	1	670	670	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	Alan),	1	Alan),	alan),	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	and	4	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	Authentic	1	Authentic	authentic	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	by	1	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	Caucasus/Serhed	1	Caucasus/Serhed	caucasus/serhed	15	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	CINDÎ	1	CINDÎ	cindî	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	Cindî	1	Cindî	cindî	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	collection	1	collection	collection	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	compiled	1	compiled	compiled	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	containing	1	containing	containing	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	dialogues.	1	dialogues.	dialogues.	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	Dimdim,	1	Dimdim,	dimdim,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	Distinctive	1	Distinctive	distinctive	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	Dîrokî	2	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	EMÎNÊ	1	EMÎNÊ	emînê	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	Emînê	1	Emînê	emînê	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	epics	1	epics	epics	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	epics,	1	epics,	epics,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	EVDAL	1	EVDAL	evdal	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	Evdal	1	Evdal	evdal	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	fairy	1	fairy	fairy	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	folk	2	folk	folk	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	FOLKLORA	1	FOLKLORA	folklora	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	Folklora	1	Folklora	folklora	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	folklore	1	folklore	folklore	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	formulaic	1	formulaic	formulaic	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	Heciyê	1	Heciyê	heciyê	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	HECÎYÊ	1	HECÎYÊ	hecîyê	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	inventory	1	inventory	inventory	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	is	1	is	is	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	kilams,	1	kilams,	kilams,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	Koleksiyona	1	Koleksiyona	koleksiyona	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	Kurdish	2	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	Kurdên	1	Kurdên	kurdên	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	KURMANCA	1	KURMANCA	kurmanca	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	Kurmanca	1	Kurmanca	kurmanca	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	Kurmanji.	1	Kurmanji.	kurmanji.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	lexical	1	lexical	lexical	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	linguistic	1	linguistic	linguistic	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	Memê	1	Memê	memê	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	monumental	1	monumental	monumental	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	Naveroka	1	Naveroka	naveroka	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	of	4	of	of	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	oral	2	oral	oral	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	pages)	1	pages)	pages)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	phonological	1	phonological	phonological	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	proverbs,	1	proverbs,	proverbs,	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	proverbs.	1	proverbs.	proverbs.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	Pêrist	1	Pêrist	pêrist	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	register	1	register	register	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	Rewanê	1	Rewanê	rewanê	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	Rich	1	Rich	rich	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	Soviet	2	Soviet	soviet	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000070	Sovyetê)	1	Sovyetê)	sovyetê)	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000071	structures,	1	structures,	structures,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000072	Table	1	Table	table	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000073	tales,	1	tales,	tales,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000074	Taybetmendiyên	1	Taybetmendiyên	taybetmendiyên	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000075	the	1	the	the	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000076	traditional	1	traditional	traditional	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000077	traditions.	1	traditions.	traditions.	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000078	traits	1	traits	traits	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000079	ya	1	ya	ya	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000080	Yekîtiya	1	Yekîtiya	yekîtiya	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000081	Zargotina	1	Zargotina	zargotina	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000082	Zimanî	1	Zimanî	zimanî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000083	Çavkanî	1	Çavkanî	çavkanî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000084	Êrîvanê	1	Êrîvanê	êrîvanê	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000085	û	2	û	û	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
