character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	74
(	U+0028	LEFT PARENTHESIS	Ps	2
)	U+0029	RIGHT PARENTHESIS	Pe	2
,	U+002C	COMMA	Po	3
-	U+002D	HYPHEN-MINUS	Pd	3
.	U+002E	FULL STOP	Po	10
/	U+002F	SOLIDUS	Po	1
0	U+0030	DIGIT ZERO	Nd	4
1	U+0031	DIGIT ONE	Nd	5
2	U+0032	DIGIT TWO	Nd	3
3	U+0033	DIGIT THREE	Nd	1
8	U+0038	DIGIT EIGHT	Nd	2
9	U+0039	DIGIT NINE	Nd	4
A	U+0041	LATIN CAPITAL LETTER A	Lu	7
B	U+0042	LATIN CAPITAL LETTER B	Lu	2
C	U+0043	LATIN CAPITAL LETTER C	Lu	3
D	U+0044	LATIN CAPITAL LETTER D	Lu	3
E	U+0045	LATIN CAPITAL LETTER E	Lu	8
I	U+0049	LATIN CAPITAL LETTER I	Lu	1
J	U+004A	LATIN CAPITAL LETTER J	Lu	1
K	U+004B	LATIN CAPITAL LETTER K	Lu	10
M	U+004D	LATIN CAPITAL LETTER M	Lu	4
N	U+004E	LATIN CAPITAL LETTER N	Lu	3
O	U+004F	LATIN CAPITAL LETTER O	Lu	3
P	U+0050	LATIN CAPITAL LETTER P	Lu	5
R	U+0052	LATIN CAPITAL LETTER R	Lu	5
S	U+0053	LATIN CAPITAL LETTER S	Lu	4
T	U+0054	LATIN CAPITAL LETTER T	Lu	5
U	U+0055	LATIN CAPITAL LETTER U	Lu	1
V	U+0056	LATIN CAPITAL LETTER V	Lu	2
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	2
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	1
a	U+0061	LATIN SMALL LETTER A	Ll	42
b	U+0062	LATIN SMALL LETTER B	Ll	6
c	U+0063	LATIN SMALL LETTER C	Ll	10
d	U+0064	LATIN SMALL LETTER D	Ll	13
e	U+0065	LATIN SMALL LETTER E	Ll	29
f	U+0066	LATIN SMALL LETTER F	Ll	7
g	U+0067	LATIN SMALL LETTER G	Ll	9
h	U+0068	LATIN SMALL LETTER H	Ll	10
i	U+0069	LATIN SMALL LETTER I	Ll	32
j	U+006A	LATIN SMALL LETTER J	Ll	1
k	U+006B	LATIN SMALL LETTER K	Ll	4
l	U+006C	LATIN SMALL LETTER L	Ll	26
m	U+006D	LATIN SMALL LETTER M	Ll	10
n	U+006E	LATIN SMALL LETTER N	Ll	30
o	U+006F	LATIN SMALL LETTER O	Ll	33
p	U+0070	LATIN SMALL LETTER P	Ll	6
r	U+0072	LATIN SMALL LETTER R	Ll	24
s	U+0073	LATIN SMALL LETTER S	Ll	21
t	U+0074	LATIN SMALL LETTER T	Ll	26
u	U+0075	LATIN SMALL LETTER U	Ll	17
v	U+0076	LATIN SMALL LETTER V	Ll	7
w	U+0077	LATIN SMALL LETTER W	Ll	2
y	U+0079	LATIN SMALL LETTER Y	Ll	8
z	U+007A	LATIN SMALL LETTER Z	Ll	1
|	U+007C	VERTICAL LINE	Sm	1
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	2
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	1
Ü	U+00DC	LATIN CAPITAL LETTER U WITH DIAERESIS	Lu	2
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	1
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	3
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	8
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	5
İ	U+0130	LATIN CAPITAL LETTER I WITH DOT ABOVE	Lu	2
ş	U+015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	1
