entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Early::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1908	1908	1908	1	1	BODY	BODY-P000008-W00006	BODY-P000008-W00006	BODY-P000008-W00006	Published in Istanbul following the 1908 Constitutional revolution, this periodical was the official organ of the Kurdish Society for Progress and Mutual Aid.	0	0	the::1	Constitutional::1	4	1 9 0 8	1	8	19	08		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	1908-1909	1908-1909	1908-1909	1	1	BODY	BODY-P000001-W00008	BODY-P000001-W00008	BODY-P000001-W00008	KORPUSA ROJNAMEYA KÜRD TEAVÜN VE TERAKKÎ CEMİYETİ (1908-1909)	0	1	CEMİYETİ::1		9	1 9 0 8 - 1 9 0 9	1	9	19	09		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Sociolinguistic::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	20th-century	20th-century	20th-century	1	1	BODY	BODY-P000010-W00003	BODY-P000010-W00003	BODY-P000010-W00003	1. Early 20th-century political and legal essays.	0	0	Early::1	political::1	12	2 0 t h - c e n t u r y	2	y	20	ry		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. Bilingual Kurdish-Ottoman comparative terminology.	1	0		Bilingual::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	Aid	Aid	aid	1	1	BODY	BODY-P000008-W00023	BODY-P000008-W00023	BODY-P000008-W00023	Published in Istanbul following the 1908 Constitutional revolution, this periodical was the official organ of the Kurdish Society for Progress and Mutual Aid.	0	1	Mutual::1		3	A i d	A	d	Ai	id		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	alphabet	alphabet	alphabet	1	1	BODY	BODY-P000011-W00007	BODY-P000011-W00007	BODY-P000011-W00007	2. Sociolinguistic discourse on Kurdish education, alphabet reform, and language revival.	0	0	education::1	reform::1	8	a l p h a b e t	a	t	al	et		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	Alîkarî	Alîkarî	alîkarî	1	1	BODY	BODY-P000002-W00004	BODY-P000002-W00004	BODY-P000002-W00004	Komele û Rojnameya Alîkarî û Pêşveçûna Kurd (Stembol) | Çapa M. Emîn Bozarslan	0	0	Rojnameya::1	û::1	7	A l î k a r î	A	î	Al	rî		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	and	and	and	3	1	BODY	BODY-P000008-W00021	BODY-P000011-W00009	BODY-P000008-W00021 | BODY-P000010-W00005 | BODY-P000011-W00009	Published in Istanbul following the 1908 Constitutional revolution, this periodical was the official organ of the Kurdish Society for Progress and Mutual Aid.	0	0	Progress::1 | political::1 | reform::1	Mutual::1 | legal::1 | language::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
