raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(1908-1909)	1	(1908-1909)	(1908-1909)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(Stembol)	1	(Stembol)	(stembol)	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	1908	1	1908	1908	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	20th-century	1	20th-century	20th-century	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	Aid.	1	Aid.	aid.	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	alphabet	1	alphabet	alphabet	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	Alîkarî	1	Alîkarî	alîkarî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	and	3	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	Bilingual	1	Bilingual	bilingual	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	Bozarslan	1	Bozarslan	bozarslan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	CEMİYETİ	1	CEMİYETİ	cemi̇yeti̇	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	comparative	1	comparative	comparative	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	Constitutional	1	Constitutional	constitutional	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	discourse	1	discourse	discourse	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	Dîrokî	1	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	Early	1	Early	early	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	education,	1	education,	education,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	Emîn	1	Emîn	emîn	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
