entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Student::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	1913	1913	1913	3	1	BODY	BODY-P000001-W00005	BODY-P000008-W00010	BODY-P000001-W00005 | BODY-P000002-W00006 | BODY-P000008-W00010	KORPUSA KOVARA ROJÎ KURD (1913) - CIVATA TELEBEYÊ KURDAN (HÊVÎ)	0	0	KURD::1 | Stembolê::1 | in::1	CIVATA::1 | Çapa::1 | in::1	4	1 9 1 3	1	3	19	13		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Early::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	3	3	3	1	1	BODY	BODY-P000012-W00001	BODY-P000012-W00001	BODY-P000012-W00001	3. National and romantic poetry.	1	0		National::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	and	and	and	6	1	BODY	BODY-P000008-W00022	BODY-P000012-W00003	BODY-P000008-W00022 | BODY-P000008-W00026 | BODY-P000010-W00003 | BODY-P000010-W00010 | BODY-P000011-W00008 | BODY-P000012-W00003	Rojî Kurd (The Kurdish Sun/Day) was published in 1913 in Istanbul by the Kurdish Student Association Hêvî (Hope), featuring Kurmanji and Sorani Kurdish articles and poetry.	0	0	Kurmanji::2 | articles::1 | Student::1 | preservation::1 | National::1	Sorani::2 | poetry::1 | youth::1 | scientific::1 | romantic::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	articles	articles	articles	1	1	BODY	BODY-P000008-W00025	BODY-P000008-W00025	BODY-P000008-W00025	Rojî Kurd (The Kurdish Sun/Day) was published in 1913 in Istanbul by the Kurdish Student Association Hêvî (Hope), featuring Kurmanji and Sorani Kurdish articles and poetry.	0	0	Kurdish::1	and::1	8	a r t i c l e s	a	s	ar	es		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	Association	Association	association	1	1	BODY	BODY-P000008-W00017	BODY-P000008-W00017	BODY-P000008-W00017	Rojî Kurd (The Kurdish Sun/Day) was published in 1913 in Istanbul by the Kurdish Student Association Hêvî (Hope), featuring Kurmanji and Sorani Kurdish articles and poetry.	0	0	Student::1	Hêvî::1	11	A s s o c i a t i o n	A	n	As	on		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	both	both	both	1	1	BODY	BODY-P000011-W00006	BODY-P000011-W00006	BODY-P000011-W00006	2. Early comparative dialectology featuring both Kurmanji and Sorani texts.	0	0	featuring::1	Kurmanji::1	4	b o t h	b	h	bo	th		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	Bozarslan	Bozarslan	bozarslan	1	1	BODY	BODY-P000002-W00010	BODY-P000002-W00010	BODY-P000002-W00010	Kovara Xwendekarên Kurd li Stembolê (1913) | Çapa M. Emîn Bozarslan	0	1	Emîn::1		9	B o z a r s l a n	B	n	Bo	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	by	by	by	1	1	BODY	BODY-P000008-W00013	BODY-P000008-W00013	BODY-P000008-W00013	Rojî Kurd (The Kurdish Sun/Day) was published in 1913 in Istanbul by the Kurdish Student Association Hêvî (Hope), featuring Kurmanji and Sorani Kurdish articles and poetry.	0	0	Istanbul::1	the::1	2	b y	b	y	by	by		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
