raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(1913)	2	(1913)	(1913)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(Hope),	1	(Hope),	(hope),	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	(HÊVÎ)	1	(HÊVÎ)	(hêvî)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	(The	1	(The	(the	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	-	1	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	1913	1	1913	1913	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	and	6	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	articles	1	articles	articles	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	Association	1	Association	association	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	both	1	both	both	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	Bozarslan	1	Bozarslan	bozarslan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	by	1	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	CIVATA	1	CIVATA	civata	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	comparative	1	comparative	comparative	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	dialectology	1	dialectology	dialectology	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	Dîrokî	1	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	Early	1	Early	early	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	Emîn	1	Emîn	emîn	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	essays	1	essays	essays	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	featuring	2	featuring	featuring	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	Hêvî	1	Hêvî	hêvî	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	in	2	in	in	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	intellectual	1	intellectual	intellectual	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	Istanbul	1	Istanbul	istanbul	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	KOVARA	1	KOVARA	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	Kovara	1	Kovara	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	KURD	1	KURD	kurd	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	Kurd	2	Kurd	kurd	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	KURDAN	1	KURDAN	kurdan	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	Kurdish	3	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	Kurmanji	2	Kurmanji	kurmanji	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	language	1	language	language	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	li	1	li	li	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	literacy.	1	literacy.	literacy.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	M.	1	M.	m.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	National	1	National	national	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	Naveroka	1	Naveroka	naveroka	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	of	1	of	of	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	poetry.	2	poetry.	poetry.	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	preservation	1	preservation	preservation	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	promoting	1	promoting	promoting	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	published	1	published	published	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	Pêrist	1	Pêrist	pêrist	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	ROJÎ	1	ROJÎ	rojî	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	Rojî	1	Rojî	rojî	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	romantic	1	romantic	romantic	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	scientific	1	scientific	scientific	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	Sorani	2	Sorani	sorani	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	Stembolê	1	Stembolê	stembolê	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	Student	2	Student	student	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	Sun/Day)	1	Sun/Day)	sun/day)	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	Table	1	Table	table	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	Taybetmendiyên	1	Taybetmendiyên	taybetmendiyên	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	TELEBEYÊ	1	TELEBEYÊ	telebeyê	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	texts.	1	texts.	texts.	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	the	1	the	the	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	was	1	was	was	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	Xwendekarên	1	Xwendekarên	xwendekarên	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	youth	1	youth	youth	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	Zimanî	1	Zimanî	zimanî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	|	1	|	|	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000070	Çapa	1	Çapa	çapa	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000071	Çavkanî	1	Çavkanî	çavkanî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000072	û	2	û	û	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
