character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	87
(	U+0028	LEFT PARENTHESIS	Ps	1
)	U+0029	RIGHT PARENTHESIS	Pe	1
,	U+002C	COMMA	Po	6
-	U+002D	HYPHEN-MINUS	Pd	2
.	U+002E	FULL STOP	Po	12
/	U+002F	SOLIDUS	Po	1
1	U+0031	DIGIT ONE	Nd	2
2	U+0032	DIGIT TWO	Nd	2
3	U+0033	DIGIT THREE	Nd	2
;	U+003B	SEMICOLON	Po	1
A	U+0041	LATIN CAPITAL LETTER A	Lu	5
B	U+0042	LATIN CAPITAL LETTER B	Lu	2
C	U+0043	LATIN CAPITAL LETTER C	Lu	3
D	U+0044	LATIN CAPITAL LETTER D	Lu	6
E	U+0045	LATIN CAPITAL LETTER E	Lu	5
F	U+0046	LATIN CAPITAL LETTER F	Lu	3
G	U+0047	LATIN CAPITAL LETTER G	Lu	1
H	U+0048	LATIN CAPITAL LETTER H	Lu	1
I	U+0049	LATIN CAPITAL LETTER I	Lu	2
K	U+004B	LATIN CAPITAL LETTER K	Lu	11
L	U+004C	LATIN CAPITAL LETTER L	Lu	3
M	U+004D	LATIN CAPITAL LETTER M	Lu	4
N	U+004E	LATIN CAPITAL LETTER N	Lu	4
O	U+004F	LATIN CAPITAL LETTER O	Lu	5
P	U+0050	LATIN CAPITAL LETTER P	Lu	2
R	U+0052	LATIN CAPITAL LETTER R	Lu	6
S	U+0053	LATIN CAPITAL LETTER S	Lu	2
T	U+0054	LATIN CAPITAL LETTER T	Lu	5
U	U+0055	LATIN CAPITAL LETTER U	Lu	3
V	U+0056	LATIN CAPITAL LETTER V	Lu	1
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	1
a	U+0061	LATIN SMALL LETTER A	Ll	49
b	U+0062	LATIN SMALL LETTER B	Ll	8
c	U+0063	LATIN SMALL LETTER C	Ll	16
d	U+0064	LATIN SMALL LETTER D	Ll	17
e	U+0065	LATIN SMALL LETTER E	Ll	27
f	U+0066	LATIN SMALL LETTER F	Ll	3
g	U+0067	LATIN SMALL LETTER G	Ll	12
h	U+0068	LATIN SMALL LETTER H	Ll	11
i	U+0069	LATIN SMALL LETTER I	Ll	45
k	U+006B	LATIN SMALL LETTER K	Ll	5
l	U+006C	LATIN SMALL LETTER L	Ll	17
m	U+006D	LATIN SMALL LETTER M	Ll	13
n	U+006E	LATIN SMALL LETTER N	Ll	31
o	U+006F	LATIN SMALL LETTER O	Ll	36
p	U+0070	LATIN SMALL LETTER P	Ll	8
r	U+0072	LATIN SMALL LETTER R	Ll	42
s	U+0073	LATIN SMALL LETTER S	Ll	29
t	U+0074	LATIN SMALL LETTER T	Ll	29
u	U+0075	LATIN SMALL LETTER U	Ll	10
v	U+0076	LATIN SMALL LETTER V	Ll	4
w	U+0077	LATIN SMALL LETTER W	Ll	1
y	U+0079	LATIN SMALL LETTER Y	Ll	13
z	U+007A	LATIN SMALL LETTER Z	Ll	3
|	U+007C	VERTICAL LINE	Sm	1
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	3
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	1
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	2
Û	U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Lu	1
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	2
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	2
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	7
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	2
ü	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	Ll	3
İ	U+0130	LATIN CAPITAL LETTER I WITH DOT ABOVE	Lu	2
ş	U+015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	2
