entry_id	surface_form	nfc_search_key	casefold_search_key	frequency	document_part_count	document_parts	first_locator	last_locator	sample_locators	first_context	container_initial_count	container_final_count	top_left_neighbors	top_right_neighbors	unicode_char_length	exact_character_sequence	first_char	last_char	first_two_chars	last_two_chars	casefold_surface_relatives	semantic_status	interpretive_status	corpus_scope_status	notes
W000001	1	1	1	2	1	BODY	BODY-P000007-W00001	BODY-P000010-W00001	BODY-P000007-W00001 | BODY-P000010-W00001	1. Danasîn û Naveroka Korpusa Dîrokî	2	0		Danasîn::1 | Ethnographic::1	1	1	1	1	1	1		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000002	2	2	2	2	1	BODY	BODY-P000009-W00001	BODY-P000011-W00001	BODY-P000009-W00001 | BODY-P000011-W00001	2. Taybetmendiyên Zimanî û Çavkanî	2	0		Taybetmendiyên::1 | Geographic::1	1	2	2	2	2	2		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000003	3	3	3	2	1	BODY	BODY-P000002-W00012	BODY-P000012-W00001	BODY-P000002-W00012 | BODY-P000012-W00001	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	1	0	Neşriyat::1	Çapa::1 | Formal::1	1	3	3	3	3	3		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000004	academic	academic	academic	1	1	BODY	BODY-P000012-W00003	BODY-P000012-W00003	BODY-P000012-W00003	3. Formal academic register.	0	0	Formal::1	register::1	8	a c a d e m i c	a	c	ac	ic		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000005	across	across	across	1	1	BODY	BODY-P000011-W00007	BODY-P000011-W00007	BODY-P000011-W00007	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	0	names::1	all::1	6	a c r o s s	a	s	ac	ss		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000006	all	all	all	1	1	BODY	BODY-P000011-W00008	BODY-P000011-W00008	BODY-P000011-W00008	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	0	across::1	four::1	3	a l l	a	l	al	ll		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000007	and	and	and	6	1	BODY	BODY-P000008-W00002	BODY-P000011-W00004	BODY-P000008-W00002 | BODY-P000008-W00011 | BODY-P000008-W00018 | BODY-P000010-W00003 | BODY-P000010-W00011 | BODY-P000011-W00004	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	Historical::1 | geography::1 | Friç::1 | Ethnographic::1 | customs::1 | toponyms::1	sociological::1 | history::1 | edited::1 | historical::1 | social::1 | tribal::1	3	a n d	a	d	an	nd		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000008	Aşair	Aşair	aşair	1	1	BODY	BODY-P000002-W00006	BODY-P000002-W00006	BODY-P000002-W00006	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	Tedkikat::1	ve::1	5	A ş a i r	A	r	Aş	ir		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000009	Bozarslan	Bozarslan	bozarslan	2	1	BODY	BODY-P000002-W00016	BODY-P000008-W00023	BODY-P000002-W00016 | BODY-P000008-W00023	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	2	E::1 | Emin::1		9	B o z a r s l a n	B	n	Bo	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000010	by	by	by	2	1	BODY	BODY-P000008-W00015	BODY-P000008-W00020	BODY-P000008-W00015 | BODY-P000008-W00020	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	written::1 | edited::1	Doctor::1 | M::1	2	b y	b	y	by	by		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000011	CIVAKA	CIVAKA	civaka	1	1	BODY	BODY-P000001-W00007	BODY-P000001-W00007	BODY-P000001-W00007	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	Û::1	KURDAN::1	6	C I V A K A	C	A	CI	KA		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000012	Contents	Contents	contents	1	1	BODY	BODY-P000004-W00003	BODY-P000004-W00003	BODY-P000004-W00003	Table of Contents / Pêrist	0	0	of::1	Pêrist::1	8	C o n t e n t s	C	s	Co	ts		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000013	customs	customs	customs	1	1	BODY	BODY-P000010-W00010	BODY-P000010-W00010	BODY-P000010-W00010	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	0	regions::1	and::1	7	c u s t o m s	c	s	cu	ms		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000014	Danasîn	Danasîn	danasîn	1	1	BODY	BODY-P000007-W00002	BODY-P000007-W00002	BODY-P000007-W00002	1. Danasîn û Naveroka Korpusa Dîrokî	0	0	1::1	û::1	7	D a n a s î n	D	n	Da	în		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000015	describing	describing	describing	1	1	BODY	BODY-P000010-W00006	BODY-P000010-W00006	BODY-P000010-W00006	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	0	terminology::1	Kurdish::1	10	d e s c r i b i n g	d	g	de	ng		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000016	DOCTOR	DOCTOR	doctor	1	1	BODY	BODY-P000001-W00009	BODY-P000001-W00009	BODY-P000001-W00009	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	KURDAN::1	FRİÇ::1	6	D O C T O R	D	R	DO	OR	Doctor	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000017	Doctor	Doctor	doctor	1	1	BODY	BODY-P000008-W00016	BODY-P000008-W00016	BODY-P000008-W00016	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	by::1	Friç::1	6	D o c t o r	D	r	Do	or	DOCTOR	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000018	DÎROK	DÎROK	dîrok	1	1	BODY	BODY-P000001-W00005	BODY-P000001-W00005	BODY-P000001-W00005	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	SER::1	Û::1	5	D Î R O K	D	K	DÎ	OK		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000019	Dîrokî	Dîrokî	dîrokî	1	1	BODY	BODY-P000007-W00006	BODY-P000007-W00006	BODY-P000007-W00006	1. Danasîn û Naveroka Korpusa Dîrokî	0	1	Korpusa::1		6	D î r o k î	D	î	Dî	kî		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000020	E	E	e	1	1	BODY	BODY-P000002-W00015	BODY-P000002-W00015	BODY-P000002-W00015	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	M::1	Bozarslan::1	1	E	E	E	E	E		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000021	edited	edited	edited	1	1	BODY	BODY-P000008-W00019	BODY-P000008-W00019	BODY-P000008-W00019	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	and::1	by::1	6	e d i t e d	e	d	ed	ed		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000022	Emin	Emin	emin	1	1	BODY	BODY-P000008-W00022	BODY-P000008-W00022	BODY-P000008-W00022	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	M::1	Bozarslan::1	4	E m i n	E	n	Em	in		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000023	Ethnographic	Ethnographic	ethnographic	1	1	BODY	BODY-P000010-W00002	BODY-P000010-W00002	BODY-P000010-W00002	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	0	1::1	and::1	12	E t h n o g r a p h i c	E	c	Et	ic		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000024	Formal	Formal	formal	1	1	BODY	BODY-P000012-W00002	BODY-P000012-W00002	BODY-P000012-W00002	3. Formal academic register.	0	0	3::1	academic::1	6	F o r m a l	F	l	Fo	al		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000025	four	four	four	1	1	BODY	BODY-P000011-W00009	BODY-P000011-W00009	BODY-P000011-W00009	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	0	all::1	parts::1	4	f o u r	f	r	fo	ur		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000026	Friç	Friç	friç	1	1	BODY	BODY-P000008-W00017	BODY-P000008-W00017	BODY-P000008-W00017	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	Doctor::1	and::1	4	F r i ç	F	ç	Fr	iç		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000027	FRİÇ	FRİÇ	fri̇ç	1	1	BODY	BODY-P000001-W00010	BODY-P000001-W00010	BODY-P000001-W00010	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	1	DOCTOR::1		4	F R İ Ç	F	Ç	FR	İÇ		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000028	Geographic	Geographic	geographic	1	1	BODY	BODY-P000011-W00002	BODY-P000011-W00002	BODY-P000011-W00002	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	0	2::1	toponyms::1	10	G e o g r a p h i c	G	c	Ge	ic		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000029	geography	geography	geography	1	1	BODY	BODY-P000008-W00010	BODY-P000008-W00010	BODY-P000008-W00010	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	structures::1	and::1	9	g e o g r a p h y	g	y	ge	hy		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000030	Historical	Historical	historical	1	1	BODY	BODY-P000008-W00001	BODY-P000008-W00001	BODY-P000008-W00001	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	1	0		and::1	10	H i s t o r i c a l	H	l	Hi	al	historical	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000031	historical	historical	historical	1	1	BODY	BODY-P000010-W00004	BODY-P000010-W00004	BODY-P000010-W00004	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	0	and::1	terminology::1	10	h i s t o r i c a l	h	l	hi	al	Historical	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000032	history	history	history	1	1	BODY	BODY-P000008-W00012	BODY-P000008-W00012	BODY-P000008-W00012	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	and::1	originally::1	7	h i s t o r y	h	y	hi	ry		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000033	İçtimaî	İçtimaî	i̇çtimaî	1	1	BODY	BODY-P000002-W00004	BODY-P000002-W00004	BODY-P000002-W00004	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	ve::1	Tedkikat::1	7	İ ç t i m a î	İ	î	İç	aî		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000034	KORPUSA	KORPUSA	korpusa	1	1	BODY	BODY-P000001-W00001	BODY-P000001-W00001	BODY-P000001-W00001	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	1	0		LÊKOLÎNEK::1	7	K O R P U S A	K	A	KO	SA	Korpusa	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000035	Korpusa	Korpusa	korpusa	1	1	BODY	BODY-P000007-W00005	BODY-P000007-W00005	BODY-P000007-W00005	1. Danasîn û Naveroka Korpusa Dîrokî	0	0	Naveroka::1	Dîrokî::1	7	K o r p u s a	K	a	Ko	sa	KORPUSA	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000036	KURDAN	KURDAN	kurdan	1	1	BODY	BODY-P000001-W00008	BODY-P000001-W00008	BODY-P000001-W00008	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	CIVAKA::1	DOCTOR::1	6	K U R D A N	K	N	KU	AN		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000037	Kurdish	Kurdish	kurdish	2	1	BODY	BODY-P000008-W00006	BODY-P000010-W00007	BODY-P000008-W00006 | BODY-P000010-W00007	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	on::1 | describing::1	society::1 | tribes::1	7	K u r d i s h	K	h	Ku	sh		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000038	Kurdistan	Kurdistan	kurdistan	1	1	BODY	BODY-P000011-W00012	BODY-P000011-W00012	BODY-P000011-W00012	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	1	of::1		9	K u r d i s t a n	K	n	Ku	an		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000039	Kürdler	Kürdler	kürdler	1	1	BODY	BODY-P000002-W00001	BODY-P000002-W00001	BODY-P000002-W00001	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	1	0		Tarihî::1	7	K ü r d l e r	K	r	Kü	er		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000040	LI	LI	li	1	1	BODY	BODY-P000001-W00003	BODY-P000001-W00003	BODY-P000001-W00003	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	LÊKOLÎNEK::1	SER::1	2	L I	L	I	LI	LI		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000041	LÊKOLÎNEK	LÊKOLÎNEK	lêkolînek	1	1	BODY	BODY-P000001-W00002	BODY-P000001-W00002	BODY-P000001-W00002	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	KORPUSA::1	LI::1	9	L Ê K O L Î N E K	L	K	LÊ	EK		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000042	M	M	m	2	1	BODY	BODY-P000002-W00014	BODY-P000008-W00021	BODY-P000002-W00014 | BODY-P000008-W00021	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	Çapa::1 | by::1	E::1 | Emin::1	1	M	M	M	M	M		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000043	monograph	monograph	monograph	1	1	BODY	BODY-P000008-W00004	BODY-P000008-W00004	BODY-P000008-W00004	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	sociological::1	on::1	9	m o n o g r a p h	m	h	mo	ph		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000044	Muhacirin	Muhacirin	muhacirin	1	1	BODY	BODY-P000002-W00008	BODY-P000002-W00008	BODY-P000002-W00008	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	ve::1	Müdüriyet-i::1	9	M u h a c i r i n	M	n	Mu	in		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000045	Müdüriyet-i	Müdüriyet-i	müdüriyet-i	1	1	BODY	BODY-P000002-W00009	BODY-P000002-W00009	BODY-P000002-W00009	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	Muhacirin::1	Umumiyesi::1	11	M ü d ü r i y e t - i	M	i	Mü	-i		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000046	names	names	names	1	1	BODY	BODY-P000011-W00006	BODY-P000011-W00006	BODY-P000011-W00006	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	0	tribal::1	across::1	5	n a m e s	n	s	na	es		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000047	Naveroka	Naveroka	naveroka	1	1	BODY	BODY-P000007-W00004	BODY-P000007-W00004	BODY-P000007-W00004	1. Danasîn û Naveroka Korpusa Dîrokî	0	0	û::1	Korpusa::1	8	N a v e r o k a	N	a	Na	ka		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000048	Neşriyat	Neşriyat	neşriyat	1	1	BODY	BODY-P000002-W00011	BODY-P000002-W00011	BODY-P000002-W00011	Kürdler; Tarihî ve İçtimaî Tedkikat (Aşair ve Muhacirin Müdüriyet-i Umumiyesi Neşriyat 3) | Çapa M. E. Bozarslan	0	0	Umumiyesi::1	3::1	8	N e ş r i y a t	N	t	Ne	at		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000049	of	of	of	2	1	BODY	BODY-P000004-W00002	BODY-P000011-W00011	BODY-P000004-W00002 | BODY-P000011-W00011	Table of Contents / Pêrist	0	0	Table::1 | parts::1	Contents::1 | Kurdistan::1	2	o f	o	f	of	of		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000050	on	on	on	1	1	BODY	BODY-P000008-W00005	BODY-P000008-W00005	BODY-P000008-W00005	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	monograph::1	Kurdish::1	2	o n	o	n	on	on		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000051	organization	organization	organization	1	1	BODY	BODY-P000010-W00013	BODY-P000010-W00013	BODY-P000010-W00013	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	1	social::1		12	o r g a n i z a t i o n	o	n	or	on		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000052	originally	originally	originally	1	1	BODY	BODY-P000008-W00013	BODY-P000008-W00013	BODY-P000008-W00013	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	history::1	written::1	10	o r i g i n a l l y	o	y	or	ly		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000053	parts	parts	parts	1	1	BODY	BODY-P000011-W00010	BODY-P000011-W00010	BODY-P000011-W00010	2. Geographic toponyms and tribal names across all four parts of Kurdistan.	0	0	four::1	of::1	5	p a r t s	p	s	pa	ts		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000054	Pêrist	Pêrist	pêrist	1	1	BODY	BODY-P000004-W00004	BODY-P000004-W00004	BODY-P000004-W00004	Table of Contents / Pêrist	0	1	Contents::1		6	P ê r i s t	P	t	Pê	st		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000055	regions	regions	regions	1	1	BODY	BODY-P000010-W00009	BODY-P000010-W00009	BODY-P000010-W00009	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	0	tribes::1	customs::1	7	r e g i o n s	r	s	re	ns		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000056	register	register	register	1	1	BODY	BODY-P000012-W00004	BODY-P000012-W00004	BODY-P000012-W00004	3. Formal academic register.	0	1	academic::1		8	r e g i s t e r	r	r	re	er		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000057	SER	SER	ser	1	1	BODY	BODY-P000001-W00004	BODY-P000001-W00004	BODY-P000001-W00004	KORPUSA LÊKOLÎNEK LI SER DÎROK Û CIVAKA KURDAN - DOCTOR FRİÇ	0	0	LI::1	DÎROK::1	3	S E R	S	R	SE	ER		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000058	social	social	social	1	1	BODY	BODY-P000010-W00012	BODY-P000010-W00012	BODY-P000010-W00012	1. Ethnographic and historical terminology describing Kurdish tribes, regions, customs, and social organization.	0	0	and::1	organization::1	6	s o c i a l	s	l	so	al		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000059	society	society	society	1	1	BODY	BODY-P000008-W00007	BODY-P000008-W00007	BODY-P000008-W00007	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	Kurdish::1	tribal::1	7	s o c i e t y	s	y	so	ty		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000060	sociological	sociological	sociological	1	1	BODY	BODY-P000008-W00003	BODY-P000008-W00003	BODY-P000008-W00003	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	and::1	monograph::1	12	s o c i o l o g i c a l	s	l	so	al		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
W000061	structures	structures	structures	1	1	BODY	BODY-P000008-W00009	BODY-P000008-W00009	BODY-P000008-W00009	Historical and sociological monograph on Kurdish society, tribal structures, geography, and history originally written by Doctor Friç and edited by M. Emin Bozarslan.	0	0	tribal::1	geography::1	10	s t r u c t u r e s	s	s	st	es		SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED	CORPUS-SCOPE UNREVIEWED	
