raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(Aşair	1	(Aşair	(aşair	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	-	1	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	3)	1	3)	3)	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	academic	1	academic	academic	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	across	1	across	across	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	all	1	all	all	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	and	6	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	Bozarslan	1	Bozarslan	bozarslan	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	Bozarslan.	1	Bozarslan.	bozarslan.	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	by	2	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	CIVAKA	1	CIVAKA	civaka	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	customs,	1	customs,	customs,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	describing	1	describing	describing	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	DOCTOR	1	DOCTOR	doctor	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	Doctor	1	Doctor	doctor	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	DÎROK	1	DÎROK	dîrok	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	Dîrokî	1	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	E.	1	E.	e.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	edited	1	edited	edited	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	Emin	1	Emin	emin	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	Ethnographic	1	Ethnographic	ethnographic	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	Formal	1	Formal	formal	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	four	1	four	four	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	Friç	1	Friç	friç	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	FRİÇ	1	FRİÇ	fri̇ç	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	Geographic	1	Geographic	geographic	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	geography,	1	geography,	geography,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	Historical	1	Historical	historical	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	historical	1	historical	historical	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	history	1	history	history	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	İçtimaî	1	İçtimaî	i̇çtimaî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	KURDAN	1	KURDAN	kurdan	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	Kurdish	2	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	Kurdistan.	1	Kurdistan.	kurdistan.	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	Kürdler;	1	Kürdler;	kürdler;	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	LI	1	LI	li	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	LÊKOLÎNEK	1	LÊKOLÎNEK	lêkolînek	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	M.	2	M.	m.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	monograph	1	monograph	monograph	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	Muhacirin	1	Muhacirin	muhacirin	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	Müdüriyet-i	1	Müdüriyet-i	müdüriyet-i	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	names	1	names	names	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	Naveroka	1	Naveroka	naveroka	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	Neşriyat	1	Neşriyat	neşriyat	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	of	2	of	of	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	on	1	on	on	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	organization.	1	organization.	organization.	13	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	originally	1	originally	originally	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	parts	1	parts	parts	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	Pêrist	1	Pêrist	pêrist	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	regions,	1	regions,	regions,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	register.	1	register.	register.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	SER	1	SER	ser	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	social	1	social	social	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	society,	1	society,	society,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	sociological	1	sociological	sociological	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	structures,	1	structures,	structures,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
